time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:46.355000,0,0,0,,-0.0012558987364172935,0.1499938695691526,0.07572698593139648,0.0,0.0,0.0,0.0,0,46,308000000,camera_link_optical,1.0307347054557274e-05,0.1500000000004664,0.008749199082395798,0.7071067811553694,-6.639165593867631e-06,6.639165840542965e-06,0.7071067811553892,0,0,0,,-0.0012558987364172935,0.07572698593139648,6.130430847406387e-06,0.0,0.0,0.0,1.0,0,0,0,odom,5.6404577829547906e-05,-1.9471244000729215,0.10000000004822464,2.4355264919219865e-11,-2.5625410911427493e-10,5.5725009791615583e-05,0.9999999984473618
1970/01/01/03:00:46.621000,0,0,0,,-0.0007968973368406296,0.15000052526593208,0.10349845886230469,0.0,0.0,0.0,0.0,0,46,589000000,camera_link_optical,7.867475986723612e-06,0.15000099191738014,0.005897190386286777,0.7071067811406314,-3.806702491727114e-06,5.209618710377173e-06,0.7071067812030262,0,0,0,,-0.0007968973368406296,0.10349845886230469,-5.252659320831299e-07,0.0,0.0,0.0,1.0,0,0,0,odom,0.00011178522286996759,-1.8963391262752105,0.09999812618182631,-2.2330268356857896e-10,1.873762945084685e-06,0.00011011553982239521,0.9999999939355285
1970/01/01/03:00:46.887000,0,0,0,,-0.0023339460603892803,0.14937090184539556,0.1789541244506836,0.0,0.0,0.0,0.0,0,46,856000000,camera_link_optical,8.004967414300835e-06,0.1500004405652115,0.005706437967280653,0.7071067811549923,-3.967678501788064e-06,4.590814566014932e-06,0.7071067811920685,0,0,0,,-0.0023339460603892803,0.1789541244506836,0.000629098154604435,0.0,0.0,0.0,1.0,0,0,0,odom,0.00016583876243169118,-1.8457459298815941,0.09999812730242717,-3.234512427581283e-10,1.8726417930638377e-06,0.00016356284706047514,0.9999999866218441
1970/01/01/03:00:47.155000,0,0,0,,-0.0025235831271857023,0.15007601687684655,0.20082473754882812,0.0,0.0,0.0,0.0,0,47,122000000,camera_link_optical,8.679418289758885e-06,0.14999996329441034,0.0058961594999586975,0.707106781173386,-4.365513026382417e-06,4.313599963031734e-06,0.707106781173076,0,0,0,,-0.0025235831271857023,0.20082473754882812,-7.60168768465519e-05,0.0,0.0,0.0,1.0,0,0,0,odom,0.0002189839128573535,-1.7949644060091048,0.10000000004762027,2.407206667975031e-11,-2.532477977264428e-10,0.0002164801823621651,0.9999999765681651
1970/01/01/03:00:47.420000,0,0,0,,-0.00422489590710029,0.14986497592180967,0.2797813415527344,0.0,0.0,0.0,0.0,0,47,379000000,camera_link_optical,1.1630647996907647e-05,0.14999812925520534,0.007796323465117494,0.7071067811824843,-6.867870003860019e-06,4.2220898500854944e-06,0.7071067811446532,0,0,0,,-0.00422489590710029,0.2797813415527344,0.0001350240781903267,0.0,0.0,0.0,1.0,0,0,0,odom,0.0002719768088986872,-1.7443712123508988,0.10000000004742286,2.397971464124158e-11,-2.5226595760373975e-10,0.00026888388708276936,0.9999999638507271
1970/01/01/03:00:47.688000,0,0,0,,-0.004787923143339867,0.14984082439914345,0.2974281311035156,0.0,0.0,0.0,0.0,0,47,656000000,camera_link_optical,9.987628527314e-06,0.1500010468664528,0.005813552545160361,0.7071067811485354,-3.537214843526199e-06,5.017846994570066e-06,0.7071067811979083,0,0,0,,-0.004787923143339867,0.2974281311035156,0.0001591756008565426,0.0,0.0,0.0,1.0,0,0,0,odom,0.00032521470915991915,-1.6935859523959984,0.0999981306071738,-6.181218393714953e-10,1.869335226841712e-06,0.00032116728856035424,0.9999999484240379
1970/01/01/03:00:47.955000,0,0,0,,-0.0054888956365175545,0.14988223891705274,0.33335018157958984,0.0,0.0,0.0,0.0,0,47,923000000,camera_link_optical,1.1067313314696257e-05,0.1500012454672034,0.006087637075521846,0.7071067811384663,-3.5650895831755493e-06,5.3266022855778794e-06,0.7071067812055791,0,0,0,,-0.0054888956365175545,0.33335018157958984,0.00011776108294725418,0.0,0.0,0.0,1.0,0,0,0,odom,0.00037755283919461177,-1.6426123665758154,0.09999813169265134,-7.146887260679939e-10,1.8682490892946049e-06,0.0003729286889816734,0.999999930460349
1970/01/01/03:00:48.221000,0,0,0,,-0.006986053427681327,0.14983472935855388,0.41794729232788086,0.0,0.0,0.0,0.0,0,48,189000000,camera_link_optical,1.0952367197091472e-05,0.15000018293667133,0.005896373635803087,0.7071067811575076,-4.0585839457943e-06,4.317367793495365e-06,0.7071067811907595,0,0,0,,-0.006986053427681327,0.41794729232788086,0.00016527064144611359,0.0,0.0,0.0,1.0,0,0,0,odom,0.00042898680401337667,-1.5920191846942313,0.09999813275951187,-8.094823135060398e-10,1.8671815756464685e-06,0.0004237982151075474,0.9999999101957894
1970/01/01/03:00:48.487000,0,0,0,,-0.007197804283350706,0.1497763163410127,0.4726219177246094,0.0,0.0,0.0,0.0,0,48,450000000,camera_link_optical,1.4193356292139907e-05,0.15000186623101286,0.007039252613012303,0.7071067811280499,-3.7508692517713073e-06,6.3903195605802e-06,0.7071067812062213,0,0,0,,-0.007197804283350706,0.4726219177246094,0.0002236836589872837,0.0,0.0,0.0,1.0,0,0,0,odom,0.0004799143403341206,-1.5414260070219725,0.09999813381599992,-9.03239800321392e-10,1.8661244364848232e-06,0.00047416908792017747,0.9999998875800905
1970/01/01/03:00:48.754000,0,0,0,,-0.007686117431148887,0.15018973788246512,0.5248875617980957,0.0,0.0,0.0,0.0,0,48,704000000,camera_link_optical,1.828770915590053e-05,0.14999813455915262,0.009317915770702179,0.7071067811747895,-7.65390424676547e-06,5.015669802762949e-06,0.7071067811390929,0,0,0,,-0.007686117431148887,0.5248875617980957,-0.00018973788246512413,0.0,0.0,0.0,1.0,0,0,0,odom,0.0005299666911810162,-1.49064449976641,0.10000000004645883,2.352982257270402e-11,-2.4747255839424143e-10,0.0005240409159564679,0.9999998626905497
