time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:02:06.748000,2016,126,720000000,camera_link_optical,-0.0012162717757746577,-0.0012329102028161287,2.0426759719848633,-5.210783017717582e-06,0.999999982909655,-0.00013859471958009296,-0.00012224991291696232,0,126,715000000,camera_link_optical,-4.7239485291511844e-07,3.065681042357937e-11,2.05142060000012,0.7071067811786556,-8.135030507530871e-08,8.136518555306787e-08,0.7071067811944302,0,0,0,,-5.678506568074226e-06,0.04989004135131836,4.780595190823078e-05,0.0,0.0,0.0,1.0,0,0,0,odom,9.744518337194282e-12,0.05142059999755318,0.2499999999950989,-3.5089286127203985e-13,-9.731259343834084e-13,-8.435585175832173e-11,1.0
1970/01/01/03:02:07.848000,2049,127,820000000,camera_link_optical,-0.0012744703562930226,-0.0012517094146460295,2.0920920372009277,2.0094535705574268e-06,0.9999999841399912,0.00010804883495770719,-0.00014156775260768718,0,127,806000000,camera_link_optical,-4.883740807894119e-07,3.175476548378242e-11,2.1022406000027067,0.7071067811786554,-8.208548221158987e-08,8.210036268936331e-08,0.70710678119443,0,0,0,,-6.387708708643913e-05,0.09930610656738281,6.660516373813152e-05,0.0,0.0,0.0,1.0,0,0,0,odom,1.7964361860838833e-11,0.10224059999755586,0.2499999999950989,-3.508928604541854e-13,-9.731259357975948e-13,-6.443944544373921e-11,1.0
1970/01/01/03:02:08.949000,2082,128,920000000,camera_link_optical,-0.001279007992707193,-0.001280298107303679,2.1437692642211914,-7.590291731276815e-06,0.999999990258824,0.0001248561726437078,6.19328307505035e-05,0,128,927000000,camera_link_optical,-5.045638028667652e-07,3.2853192388770935e-11,2.153060600002712,0.7071067811786553,-8.282065935167502e-08,8.283553982946303e-08,0.7071067811944299,0,0,0,,-6.84147235006094e-05,0.15098333358764648,9.519385639578104e-05,0.0,0.0,0.0,1.0,0,0,0,odom,2.618420538986416e-11,0.15306059999756358,0.2499999999950989,-3.508928611311233e-13,-9.731259354548892e-13,-4.452303910556181e-11,1.0
1970/01/01/03:02:10.052000,2115,130,25000000,camera_link_optical,-0.0013280546991154552,-0.0013225480215623975,2.195128917694092,3.6475275136553303e-06,0.9999999448821394,-6.0343041100457945e-05,-0.0003264676571807912,0,130,49000000,camera_link_optical,-5.210044832367151e-07,3.3955144251862635e-11,2.20406540000272,0.7071067811786553,-8.355588770654193e-08,8.357076818434486e-08,0.7071067811944298,0,0,0,,-0.00011746142990887165,0.20234298706054688,0.00013744377065449953,0.0,0.0,0.0,1.0,0,0,0,odom,3.4433939255938564e-11,0.20406539999757475,0.2499999999950989,-3.5089286097534494e-13,-9.731259358184315e-13,-2.4534209483468774e-11,1.0
1970/01/01/03:02:11.148000,2148,131,121000000,camera_link_optical,-0.0013422508491203189,-0.0013429985847324133,2.2460896968841553,-3.650589522738499e-06,0.99999996046325,0.00021273322544643515,0.00018386067151610609,0,131,120000000,camera_link_optical,-5.373681091231216e-07,-6.23838758428974e-11,2.2547005999921237,0.7071067811939333,-8.427449332333151e-08,8.425686042962005e-08,0.7071067811791516,0,0,0,,-0.0001316575799137354,0.25330376625061035,0.00015789433382451534,0.0,0.0,0.0,1.0,0,0,0,odom,4.262389244042325e-11,0.25470059999758443,0.2499999999950989,-3.508928631871827e-13,-9.731259353626848e-13,-4.690226462106074e-12,1.0
1970/01/01/03:02:12.248000,2181,132,220000000,camera_link_optical,-0.0013784491457045078,-0.0013764799805358052,2.2959611415863037,-1.7267515602058715e-05,0.9999999762437413,-0.00021483176661842834,3.258315228123163e-05,0,132,215000000,camera_link_optical,-5.539517410261651e-07,3.6147168591682544e-11,2.305520600000743,0.7071067811786551,-8.496063678304534e-08,8.49755172608779e-08,0.7071067811944297,0,0,0,,-0.00016785587649792433,0.3031752109527588,0.00019137572962790728,0.0,0.0,0.0,1.0,0,0,0,odom,5.084373596439143e-11,0.3055205999975803,0.2499999999950989,-3.508928626268405e-13,-9.731259356723642e-13,1.5226179850121588e-11,1.0
1970/01/01/03:02:13.351000,2214,133,321000000,camera_link_optical,-0.001399507629685104,-0.001395390136167407,2.3462815284729004,1.3593542680168401e-05,0.999999892366889,0.0002883358624154249,0.0003632407690721216,0,133,312000000,camera_link_optical,-5.709912219121509e-07,3.7248537587686315e-11,2.3564792000027146,0.7071067811776602,-8.56941861685181e-08,8.571233854841794e-08,0.7071067811954245,0,0,0,,-0.0001889143604785204,0.35349559783935547,0.0002102858852595091,0.0,0.0,0.0,1.0,0,0,0,odom,6.023142280620547e-11,0.3564791999975764,0.24999999999509864,-1.7578011003496105e-12,1.3404583624043294e-12,3.515415673532981e-11,1.0
1970/01/01/03:02:14.457000,2247,134,421000000,camera_link_optical,-0.0014443245017901063,-0.001450048410333693,2.3977882862091064,-1.5213639683660352e-06,0.9999999777387444,-0.00020582973025578405,-4.641463660042741e-05,0,134,435000000,camera_link_optical,-5.882760053404507e-07,3.8352820919129726e-11,2.407576400002708,0.7071067811776601,-8.642944014366414e-08,8.644759252358015e-08,0.7071067811954244,0,0,0,,-0.0002337312325835228,0.4050023555755615,0.0002649441594257951,0.0,0.0,0.0,1.0,0,0,0,odom,6.849610183683712e-11,0.4075763999975722,0.24999999999509864,-1.7578011011855559e-12,1.3404583635402931e-12,5.5179197970219236e-11,1.0
1970/01/01/03:02:15.553000,2278,135,533000000,camera_link_optical,-0.0014790089335292578,-0.0014817820629104972,2.449788808822632,1.7324343574924708e-05,0.9999999642512765,-4.1846647690394745e-05,-0.0002635264139593519,0,135,506000000,camera_link_optical,-6.054395437373465e-07,-6.678096964307656e-11,2.458211599992097,0.7071067811929382,-8.714804577462197e-08,8.713368478289446e-08,0.7071067811801461,0,0,0,,-0.0002684156643226743,0.4570028781890869,0.00029667781200259924,0.0,0.0,0.0,1.0,0,0,0,odom,7.668605501336923e-11,0.4582115999975681,0.24999999999509864,-1.7578010996680472e-12,1.340458363141149e-12,7.502318095360909e-11,1.0
1970/01/01/03:02:16.652000,2311,136,633000000,camera_link_optical,-0.001521378755569458,-0.0014627634081989527,2.4999160766601562,-1.2640003327539283e-05,0.9999996331939068,0.0005973242762658726,-0.0006137230573301428,0,136,629000000,camera_link_optical,-6.230563892782593e-07,-6.787814754716237e-11,2.5089853999920897,0.707106781193933,-8.788487631555366e-08,8.786724342175913e-08,0.7071067811791512,0,0,0,,-0.0003107854863628745,0.5071301460266113,0.0002776591572910547,0.0,0.0,0.0,1.0,0,0,0,odom,8.375300037698616e-11,0.5089853999975638,0.2499999999950989,-3.5089286571583504e-13,-9.731259365130305e-13,9.496422828683881e-11,1.0
1970/01/01/03:02:17.754000,2344,137,733000000,camera_link_optical,-0.0015412353677675128,-0.0015366933075711131,2.5496928691864014,-2.224293143759199e-06,0.9999999538150147,-5.215306616194766e-05,-0.00029940787977241547,0,137,748000000,camera_link_optical,-6.406694630942515e-07,4.164338318624061e-11,2.5598977999987294,0.7071067811786547,-8.857104539840175e-08,8.858592587630887e-08,0.7071067811944293,0,0,0,,-0.0003306420985609293,0.5569069385528564,0.00035158905666321516,0.0,0.0,0.0,1.0,0,0,0,odom,9.198778906158006e-11,0.5598977999975596,0.2499999999950989,-3.508928647871665e-13,-9.731259362296028e-13,1.1491684619774145e-10,1.0
1970/01/01/03:02:18.856000,2377,138,833000000,camera_link_optical,-0.001572326640598476,-0.0015519637381657958,2.6022098064422607,2.41842832401288e-05,0.9999999007552111,0.0002147207666410439,-0.00038961478523230397,0,138,821000000,camera_link_optical,-6.587250316705302e-07,4.274344767019045e-11,2.6108102000026796,0.7071067811786546,-8.93062481773198e-08,8.932112865524371e-08,0.7071067811944292,0,0,0,,-0.00036173337139189243,0.6094238758087158,0.00036685948725789785,0.0,0.0,0.0,1.0,0,0,0,odom,1.0022257774310192e-10,0.6108101999975555,0.2499999999950989,-3.508928654189709e-13,-9.73125936161749e-13,1.3486946409541024e-10,1.0
1970/01/01/03:02:19.959000,2410,139,933000000,camera_link_optical,-0.0015930382069200277,-0.0015801528934389353,2.6522302627563477,-5.765402017702599e-06,0.9999999040450621,0.0004320710076647548,-7.205047629222389e-05,0,139,944000000,camera_link_optical,-6.770037634966978e-07,4.384487217734545e-11,2.6617688000026725,0.7071067811776597,-9.003979758514657e-08,9.005794996512574e-08,0.7071067811954239,0,0,0,,-0.00038244493771344423,0.6594443321228027,0.00039504864253103733,0.0,0.0,0.0,1.0,0,0,0,odom,1.0961026457616645e-10,0.6617687999975516,0.24999999999509864,-1.7578010996726197e-12,1.3404583628833013e-12,1.5479744093362575e-10,1.0
1970/01/01/03:02:21.058000,2443,141,34000000,camera_link_optical,-0.0016137385973706841,-0.0016018166206777096,2.70029616355896,-2.2209970446671654e-05,0.9999999145875129,0.0004106759409898193,4.0950648413746794e-05,0,141,15000000,camera_link_optical,-6.952058083216798e-07,-7.227651810381985e-11,2.712542599992062,0.7071067811939327,-9.07601078197856e-08,9.074247492592544e-08,0.7071067811791507,0,0,0,,-0.00040314532816410065,0.707510232925415,0.00041671236976981163,0.0,0.0,0.0,1.0,0,0,0,odom,1.1667720993226687e-10,0.7125425999975472,0.2499999999950989,-3.508928658906551e-13,-9.731259369135386e-13,1.747384882326637e-10,1.0
1970/01/01/03:02:22.160000,2476,142,133000000,camera_link_optical,-0.0016528257401660085,-0.0016654138453304768,2.7524218559265137,-3.307217120986613e-06,0.9999998504594039,-0.0005166944393363391,-0.00017915660351364648,0,142,137000000,camera_link_optical,-7.138843880484508e-07,-7.33762495208623e-11,2.7634549999920544,0.7071067811939326,-9.149531060989279e-08,9.147767771601684e-08,0.7071067811791507,0,0,0,,-0.00044223247095942497,0.7596359252929688,0.0004803095944225788,0.0,0.0,0.0,1.0,0,0,0,odom,1.2491199860840296e-10,0.7634549999975431,0.2499999999950989,-3.508928668294439e-13,-9.731259368924685e-13,1.9469110610751857e-10,1.0
1970/01/01/03:02:23.262000,2509,143,233000000,camera_link_optical,-0.0016871982952579856,-0.001690576900728047,2.8056867122650146,4.933225055514467e-07,0.999999976362652,0.00018280887721574998,0.00011770882090103533,0,143,248000000,camera_link_optical,-7.324885948121554e-07,4.7141041070730694e-11,2.814321199999401,0.7071067811776593,-9.217980072998568e-08,9.21979531100068e-08,0.7071067811954236,0,0,0,,-0.0004766050260514021,0.8129007816314697,0.0005054726498201489,0.0,0.0,0.0,1.0,0,0,0,odom,1.3428474026214413e-10,0.8143211999975392,0.24999999999509864,-1.7578010992226432e-12,1.3404583644917633e-12,2.1458287125239597e-10,1.0
1970/01/01/03:02:24.361000,2542,144,333000000,camera_link_optical,-0.0017266436479985714,-0.0017427511047571898,2.8570868968963623,8.532759141591027e-06,0.9999998614425912,-0.000413161080275592,-0.0003260980098734977,0,144,329000000,camera_link_optical,-7.515494768844561e-07,4.823899613093374e-11,2.865141200002644,0.7071067811776592,-9.29149779219641e-08,9.293313030199669e-08,0.7071067811954236,0,0,0,,-0.0005160503787919879,0.8643009662628174,0.0005576468538492918,0.0,0.0,0.0,1.0,0,0,0,odom,1.4250458376275574e-10,0.865141199997535,0.24999999999509864,-1.7578010975912933e-12,1.340458363275527e-12,2.344992774577412e-10,1.0
1970/01/01/03:02:25.462000,2575,145,433000000,camera_link_optical,-0.0017218117136508226,-0.001758841099217534,2.9079325199127197,-2.6368439987470207e-05,0.9999998283144329,-0.00011638222707029774,0.0005736993876664463,0,145,448000000,camera_link_optical,-7.705718928374945e-07,-7.667261270327685e-11,2.916007399995907,0.7071067811939321,-9.363531377626673e-08,9.361768088234218e-08,0.7071067811791504,0,0,0,,-0.0005112184444442391,0.9151465892791748,0.0005737368483096361,0.0,0.0,0.0,1.0,0,0,0,odom,1.4958647427985083e-10,0.9160073999975307,0.2499999999950989,-3.5089287010330744e-13,-9.731259379667132e-13,2.5447653636577777e-10,1.0
1970/01/01/03:02:26.552000,2608,146,534000000,camera_link_optical,-0.0017494625644758344,-0.0017765093361958861,2.9576985836029053,6.652113166818338e-06,0.9999994259911857,-0.00035681832268926437,0.0010102740881055637,0,146,522000000,camera_link_optical,-7.899285788571877e-07,-7.776054800068266e-11,2.966365399992024,0.7071067811939322,-9.437036294814496e-08,9.435273005420121e-08,0.7071067811791503,0,0,0,,-0.0005388692952692509,0.9649126529693604,0.0005914050852879882,0.0,0.0,0.0,1.0,0,0,0,odom,1.57731591927869e-10,0.9663653999975266,0.2499999999950989,-3.508928687325494e-13,-9.731259387092565e-13,2.7421188431753236e-10,1.0
1970/01/01/03:02:27.652000,2641,147,633000000,camera_link_optical,-0.0018270350992679596,-0.0018160431645810604,3.0049829483032227,-6.270611511216449e-05,0.9999997901759917,0.0001345917751507539,-0.0006305560798171128,0,147,644000000,camera_link_optical,-8.095962800055478e-07,-7.88574205934367e-11,3.017139199992018,0.7071067811929374,-9.510386117094654e-08,9.508950017901947e-08,0.707106781180145,0,0,0,,-0.0006164418300613761,1.0121970176696777,0.0006309389136731625,0.0,0.0,0.0,1.0,0,0,0,odom,1.6708938841310793e-10,1.0171391999975228,0.24999999999509864,-1.7578010975485992e-12,1.3404583657997176e-12,2.940674378132275e-10,1.0
1970/01/01/03:02:28.753000,2674,148,733000000,camera_link_optical,-0.0018514343537390232,-0.001842797384597361,3.0554206371307373,-5.854155323475723e-06,0.999999859373736,-0.00010431717609180952,-0.0005199386153629866,0,148,714000000,camera_link_optical,-8.292019442197613e-07,5.2621934587548935e-11,3.068005400002614,0.7071067811786538,-9.579168366395919e-08,9.580656414201594e-08,0.7071067811944283,0,0,0,,-0.0006408410845324397,1.0626347064971924,0.0006576931336894631,0.0,0.0,0.0,1.0,0,0,0,odom,1.7417127892709186e-10,1.0680053999975183,0.2499999999950989,-3.508928699272787e-13,-9.731259388772238e-13,3.1404469671927325e-10,1.0
1970/01/01/03:02:29.856000,2707,149,833000000,camera_link_optical,-0.0018798841629177332,-0.001873612985946238,3.110814332962036,1.3012520969379639e-06,0.9999998235506284,8.533159812203178e-05,-0.0005878907527570521,0,149,837000000,camera_link_optical,-8.493296566161935e-07,5.37234701170064e-11,3.1189640000026064,0.7071067811776588,-9.652523310513688e-08,9.65433854852376e-08,0.707106781195423,0,0,0,,-0.0006692908937111497,1.1180284023284912,0.0006885087350383401,0.0,0.0,0.0,1.0,0,0,0,odom,1.8355896574730663e-10,1.1189639999975145,0.24999999999509864,-1.757801097736415e-12,1.340458364695837e-12,3.339726734920084e-10,1.0
1970/01/01/03:02:30.956000,2740,150,933000000,camera_link_optical,-0.001914530643261969,-0.0019130418077111244,3.1618735790252686,-8.24113205238274e-06,0.999999898150118,0.00023110892578832046,-0.0003875828963762307,0,150,909000000,camera_link_optical,-8.693603051202993e-07,-8.215675362244212e-11,3.169830199991994,0.7071067811939318,-9.724556897724514e-08,9.722793608323825e-08,0.7071067811791498,0,0,0,,-0.0007039373740553856,1.1690876483917236,0.0007279375568032265,0.0,0.0,0.0,1.0,0,0,0,odom,1.9064085625779911e-10,1.16983019999751,0.2499999999950989,-3.508928721952565e-13,-9.731259391002378e-13,3.5394993238009646e-10,1.0
1970/01/01/03:02:32.060000,2773,152,33000000,camera_link_optical,-0.0019273507641628385,-0.0019176758360117674,3.207092523574829,9.042003383166249e-06,0.999999926558546,0.00037973912259113476,-5.0983757436463095e-05,0,152,30000000,camera_link_optical,-8.899127435853649e-07,-8.325867772995821e-11,3.220834999991986,0.7071067811939316,-9.798079740621011e-08,9.796316451218543e-08,0.7071067811791498,0,0,0,,-0.000716757494956255,1.2143065929412842,0.0007325715851038694,0.0,0.0,0.0,1.0,0,0,0,odom,1.9889059009179085e-10,1.2208349999975059,0.2499999999950989,-3.5089287193538365e-13,-9.731259394196693e-13,3.7393876184941234e-10,1.0
1970/01/01/03:02:33.161000,2806,153,133000000,camera_link_optical,-0.0019729735795408487,-0.001945636817254126,3.26468825340271,-9.212405696527506e-07,0.9999999985096785,-2.4869583230497414e-05,4.859319231024222e-05,0,153,148000000,camera_link_optical,-9.103228211191759e-07,5.702358030212906e-11,3.2717011999988648,0.7071067811776585,-9.866528755800523e-08,9.868343993815015e-08,0.7071067811954228,0,0,0,,-0.0007623803103342652,1.271902322769165,0.0007605325663462281,0.0,0.0,0.0,1.0,0,0,0,odom,2.0826333173660204e-10,1.271701199997502,0.24999999999509864,-1.7578010953952251e-12,1.3404583678490862e-12,3.938305269412545e-10,1.0
1970/01/01/03:02:34.261000,2839,154,234000000,camera_link_optical,-0.0019909993279725313,-0.0020092669874429703,3.3084309101104736,-8.334237984099836e-06,0.9999997810623472,-0.0006559561324792421,-8.676030333655882e-05,0,154,223000000,camera_link_optical,-9.312299903818217e-07,5.8121896184815114e-11,3.3225212000025746,0.7071067811776585,-9.940046478333627e-08,9.941861716349115e-08,0.7071067811954226,0,0,0,,-0.0007804060587659478,1.3156449794769287,0.0008241627365350723,0.0,0.0,0.0,1.0,0,0,0,odom,2.1648317522460478e-10,1.322521199997498,0.24999999999509864,-1.7578010950541834e-12,1.340458367466703e-12,4.1374693308775626e-10,1.0
1970/01/01/03:02:35.353000,2872,155,333000000,camera_link_optical,-0.0020259488373994827,-0.0020186633337289095,3.366530656814575,-1.809575836794938e-05,0.9999998051314245,0.0006239325322286705,-1.085595766021973e-05,0,155,346000000,camera_link_optical,-9.522447412521394e-07,5.921163559463594e-11,3.3729716000025665,0.7071067811776582,-1.001355395904392e-07,1.0015369197060709e-07,0.7071067811954226,0,0,0,,-0.0008153555681928992,1.3737447261810303,0.0008335590828210115,0.0,0.0,0.0,1.0,0,0,0,odom,2.2464323803016896e-10,1.3729715999974939,0.24999999999509864,-1.7578010943701026e-12,1.340458367042214e-12,4.335184926323996e-10,1.0
1970/01/01/03:02:36.454000,2905,156,434000000,camera_link_optical,-0.002034737030044198,-0.002042394131422043,3.4095675945281982,8.191166925925668e-06,0.9999998973854167,0.00030566161307689767,0.0003342649235128593,0,156,417000000,camera_link_optical,-9.732649244143853e-07,-8.764380887704704e-11,3.4237915999919553,0.7071067811929365,-1.0085419649995248e-07,1.0083983550788418e-07,0.7071067811801443,0,0,0,,-0.0008241437608376145,1.4167816638946533,0.0008572898805141449,0.0,0.0,0.0,1.0,0,0,0,odom,2.3286308151242135e-10,1.4237915999974897,0.24999999999509864,-1.7578010951255053e-12,1.3404583675406908e-12,4.534348987509844e-10,1.0
1970/01/01/03:02:37.551000,2938,157,533000000,camera_link_optical,-0.002101222286000848,-0.0020492731127887964,3.4673116207122803,-5.639597897317756e-05,0.9999998849942267,0.0004751289502497046,-3.291667520544224e-05,0,157,538000000,camera_link_optical,-9.947666762533827e-07,-8.873957124677645e-11,3.4745191999919465,0.7071067811929362,-1.0158934813096726e-07,1.0157498713887984e-07,0.7071067811801441,0,0,0,,-0.0008906290167942643,1.4745256900787354,0.0008641688618808985,0.0,0.0,0.0,1.0,0,0,0,odom,2.4106797982416903e-10,1.4745191999974856,0.24999999999509864,-1.7578010929124876e-12,1.3404583670703445e-12,4.733150932194557e-10,1.0
