time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:17.371000,167,17,348000000,camera_link_optical,-0.002336477395147085,-0.0024241015780717134,4.042173385620117,1.1021554565757334e-06,0.999999903903615,0.00012147660403030939,-0.00042123031779832393,0,17,340000000,camera_link_optical,0.00011813516193755074,-3.2093049776860116e-06,4.051353043986022,0.7071070682510509,1.0285526475288677e-05,-1.0339636480334277e-05,0.7071064939715258,0,0,0,odom,6.115778059388949e-06,0.04758854456964896,0.25002336943661785,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.1269089764471703e-09,0.051353247777345214,0.24999999999511338,-9.817774473686654e-12,4.840345562374647e-15,-2.3286795550895953e-09,1.0
1970/01/01/03:00:17.639000,175,17,615000000,camera_link_optical,-0.0023666340857744217,-0.002451638923957944,4.093090534210205,-1.3027917938568713e-06,0.9999999030956707,0.00015468820180474077,-0.00041216321044968096,0,17,595000000,camera_link_optical,0.000121402485316146,-9.171964600707128e-06,4.102326883738799,0.7071067292899325,1.0497794278708148e-05,-1.0426729070637085e-05,0.7071068329283587,0,0,0,odom,-2.4040912567947553e-05,0.09850569315973685,0.2500509067825041,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.1268816894261788e-09,0.10232684777733958,0.24999999999511982,-9.830675740038098e-12,4.840346040553003e-15,-2.3287341291346554e-09,1.0
1970/01/01/03:00:17.908000,183,17,882000000,camera_link_optical,-0.002389412373304367,-0.002491800580173731,4.144197463989258,1.1086892750056474e-06,0.9999999768280035,0.00012902958762630795,-0.00017231984510924557,0,17,880000000,camera_link_optical,0.00012504323321334894,4.784165380800065e-07,4.153490678462348,0.7071067362547163,1.0830441363315492e-05,-1.0436750331505825e-05,0.7071068259584112,0,0,0,odom,-4.6819200097892926e-05,0.14961262293878957,0.25009106843871987,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.1268446212847127e-09,0.15349064777733348,0.24999999999512632,-9.843642196879947e-12,-4.836754284451678e-15,-2.3287985852053656e-09,1.0
1970/01/01/03:00:18.172000,191,18,149000000,camera_link_optical,-0.002399507677182555,-0.00251969275996089,4.195430278778076,1.582457779336004e-06,0.9999999842846619,8.24317895716744e-05,0.00015694958408992303,0,18,147000000,camera_link_optical,0.00012825719243223817,-2.901236176633404e-06,4.20351307103667,0.7071070295917727,1.0723228232093725e-05,-1.0863289130833115e-05,0.70710653261648,0,0,0,odom,-5.691450397608106e-05,0.20084543772760793,0.250118960618507,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.1268275207585656e-09,0.20351324777732754,0.24999999999513264,-9.856335971734415e-12,4.840347034719612e-15,-2.3288424664760295e-09,1.0
1970/01/01/03:00:18.439000,199,18,415000000,camera_link_optical,-0.002385669155046344,-0.002544353250414133,4.246201992034912,3.456375872637062e-06,0.9999997563482217,0.00011004605111112946,0.0006893340390032117,0,18,410000000,camera_link_optical,0.0001317409175186972,-9.149693056514918e-06,4.254296683495401,0.7071067292825307,1.0983301221395762e-05,-1.0912236098145225e-05,0.7071068329210601,0,0,0,odom,-4.3075981839869664e-05,0.25161715098444387,0.25014362110896027,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.1267906549967468e-09,0.25429664777732214,0.24999999999513908,-9.869239551402184e-12,-4.836754509477705e-15,-2.3289065177862146e-09,1.0
1970/01/01/03:00:18.706000,207,18,681000000,camera_link_optical,-0.002345818793401122,-0.0025632386095821857,4.2948689460754395,-5.418530110610769e-07,0.9999999435030863,0.00022064199767140932,0.00025359542454191433,0,18,666000000,camera_link_optical,0.00013516656484393612,6.498868772297772e-07,4.305080082467952,0.7071067298841526,1.1135365532418676e-05,-1.106462954162056e-05,0.7071068323146917,0,0,0,odom,-3.2256201946479542e-06,0.3002841050249712,0.2501625064681283,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.1267731459161376e-09,0.30508004777732345,0.24999999999514558,-9.882160024513994e-12,4.840346349671345e-15,-2.3289512161653863e-09,1.0
1970/01/01/03:00:18.972000,215,18,948000000,camera_link_optical,-0.0022818022407591343,-0.00260667921975255,4.33914852142334,5.0856163613779686e-06,0.9999990277336286,0.00015130298011020103,0.001386222688569345,0,18,947000000,camera_link_optical,0.0001387030111585338,-2.1116161063594596e-06,4.355673125354695,0.7071069522802235,1.1113124438497059e-05,-1.142508767818207e-05,0.7071066099132011,0,0,0,odom,6.0790932447339846e-05,0.3445636803728716,0.2502059470782987,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.126746059372909e-09,0.3556732477773248,0.24999999999515202,-9.8950489251218e-12,4.840347841362614e-15,-2.3290053892559204e-09,1.0
1970/01/01/03:00:19.239000,223,19,215000000,camera_link_optical,-0.0024681957438588142,-0.0026288116350769997,4.384858131408691,2.972679285430753e-06,0.9999999357864578,9.713011805956556e-05,-0.00034494055076647064,0,19,213000000,camera_link_optical,0.0001424157026528974,-5.8026326490712155e-06,4.406646926397732,0.7071066680879537,1.1459244960481183e-05,-1.1392588437478782e-05,0.7071068941004939,0,0,0,odom,-0.0001256025706523401,0.39027329035822317,0.25022807949362313,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.1267187685290046e-09,0.4066468477773261,0.2499999999951585,-9.908051734458016e-12,4.840345993043159e-15,-2.3290599709444834e-09,1.0
1970/01/01/03:00:19.505000,231,19,482000000,camera_link_optical,-0.00263191107660532,-0.0026663444004952908,4.438237190246582,-1.7515268671532298e-07,0.9999999808997954,4.493880870264321e-05,-0.00019021272764510017,0,19,480000000,camera_link_optical,0.0001460549976081668,4.499606797991884e-07,4.457240080739572,0.7071067319367356,1.1618837370136243e-05,-1.155093746872904e-05,0.7071068302465533,0,0,0,odom,-0.00028931790339884584,0.4436523491961138,0.2502656122590414,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.126691680721161e-09,0.45724004777732746,0.24999999999516495,-9.920974403160744e-12,4.840347891036322e-15,-2.329114146564653e-09,1.0
1970/01/01/03:00:19.771000,239,19,748000000,camera_link_optical,-0.00267602875828743,-0.002701388904824853,4.496640205383301,-2.932713130818084e-07,0.9999999243392111,6.335331126887114e-05,-0.0003838070399355714,0,19,736000000,camera_link_optical,0.00014943187090957257,-6.16199419434249e-07,4.507833217172333,0.7071068218219786,1.1437287959647796e-05,-1.2039336919579102e-05,0.7071067403561243,0,0,0,odom,-0.00033343558508095567,0.5020553643328325,0.250300656763371,2.2431971505325826e-11,-3.0480560510647438e-12,-1.9032180822050004e-10,1.0,0,0,0,odom,1.126664592281743e-09,0.5078332477773277,0.24999999999517145,-9.933913926755759e-12,4.84034648907763e-15,-2.329168323444667e-09,1.0
