time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:38.404000,0,0,0,,0.0005175662226974964,0.15198062183335423,0.06844091415405273,0.0,0.0,0.0,0.0,0,38,380000000,camera_link_optical,2.0301681767295743e-07,0.14999190824334,0.004365988012961619,0.7071006410470562,-7.000586833332712e-09,2.43194876987003e-07,0.7071129212726798,0,0,0,odom,0.0005175558433802883,-3.9315591016199907,0.09800960500652137,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-1.7020062919633878e-06,-3.9492511700391635,0.10001973440339519,-9.840401402165707e-05,1.4324390849347125e-07,3.1853991430591203e-05,0.9999999946509763
1970/01/01/03:00:38.672000,0,0,0,,0.000997199211269617,0.15348186679184436,0.09846735000610352,0.0,0.0,0.0,0.0,0,38,647000000,camera_link_optical,1.2582682328829203e-07,0.15000459254507287,0.004379616548623844,0.7071009944116634,-3.413318475501129e-09,2.8100142127865335e-09,0.7071125679140745,0,0,0,odom,0.0009971888319524089,-3.90153266576794,0.09650836004803123,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-3.5124912435615277e-06,-3.8984922766132293,0.10002953861770368,-0.000196448655144507,-1.536076689313967e-07,3.1609341787056226e-05,0.9999999802043756
1970/01/01/03:00:38.939000,0,0,0,,0.0005616107955574989,0.1543901866301894,0.12604522705078125,0.0,0.0,0.0,0.0,0,38,913000000,camera_link_optical,3.2181617960866556e-08,0.1499855735532198,0.00474183748870205,0.7070999975777883,2.158256427562013e-09,-4.1736457179017315e-07,0.7071135647301058,0,0,0,odom,0.0005616004162402907,-3.873954788723262,0.09560004020968618,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-5.193311712748632e-06,-3.847753257395755,0.10005909868863218,-0.00029530203203657034,-1.5622137969045788e-07,3.166792228578486e-05,0.999999955896913
1970/01/01/03:00:39.205000,0,0,0,,-9.448174387216568e-05,0.15655918288975954,0.20202398300170898,0.0,0.0,0.0,0.0,0,39,168000000,camera_link_optical,2.10006012552489e-07,0.14999214052305274,0.006842547206155736,0.7070973818622825,-5.54280575118852e-09,5.534106478500717e-09,0.7071161803858721,0,0,0,odom,-9.44921231893739e-05,-3.7979760327723344,0.09343104395011606,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-6.759600253369267e-06,-3.7971943988654853,0.10007872230374362,-0.00039348869988277136,1.3377401674939853e-07,3.202745797321313e-05,0.9999999220704306
1970/01/01/03:00:39.471000,0,0,0,,0.00061430549249053,0.1567582707852125,0.2691197395324707,0.0,0.0,0.0,0.0,0,39,423000000,camera_link_optical,2.749623154366782e-07,0.14998780707939066,0.0091233909708337,0.7070942398928103,-7.409620948819244e-09,7.3952524968716216e-09,0.7071193222578556,0,0,0,odom,0.0006142951131733218,-3.7308802762415727,0.09323195605466308,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-8.579326478870169e-06,-3.746435559586549,0.10008855745968326,-0.0004917461415890293,-1.630281457391327e-07,3.1783149005378013e-05,0.9999998785877612
1970/01/01/03:00:39.739000,0,0,0,,0.0008267220109701157,0.1590077295899391,0.29305362701416016,0.0,0.0,0.0,0.0,0,39,713000000,camera_link_optical,5.895884045255739e-08,0.1499955256023464,0.004754686304380584,0.7071003214285065,6.831682404499592e-10,-2.9434081897230073e-07,0.7071132408855147,0,0,0,odom,0.0008267116316529074,-3.7069463887598832,0.09098249724993648,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-1.0282904772641049e-05,-3.6954965957983434,0.10010834958073646,-0.0005908140370336083,-1.6621169848057618e-07,3.1841670633014374e-05,0.9999998249624118
1970/01/01/03:00:40.005000,0,0,0,,0.0005265329964458942,0.16048431359231471,0.3475027084350586,0.0,0.0,0.0,0.0,0,39,980000000,camera_link_optical,1.4153914514318695e-07,0.1500008134302243,0.0047463159838105895,0.7071005013657164,-3.7096368968147407e-09,4.377959150507905e-09,0.7071130609516078,0,0,0,odom,0.000526522617128686,-3.652497307338985,0.08950591324756088,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-1.1856911962919841e-05,-3.644937791415713,0.10012800413662148,-0.0006892137848583658,1.2470035327407989e-07,3.220274275449999e-05,0.999999761973635
1970/01/01/03:00:40.271000,0,0,0,,-3.0954834073781967e-06,0.16083911210298538,0.41509580612182617,0.0,0.0,0.0,0.0,0,40,239000000,camera_link_optical,1.8435659503396144e-07,0.14998819608852954,0.0060822480467743745,0.707098402022921,-4.980919797664982e-09,4.965321709872765e-09,0.7071151602508828,0,0,0,odom,-3.105862724586423e-06,-3.5849042096522172,0.08915111473689022,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-1.367388362379051e-05,-3.5943790054151257,0.10014766936181102,-0.000787684468371942,-1.7257281279629803e-07,3.1958283556426015e-05,0.99999968926586
1970/01/01/03:00:40.538000,0,0,0,,0.000781194306910038,0.16322703063488006,0.4669351577758789,0.0,0.0,0.0,0.0,0,40,493000000,camera_link_optical,2.539407776054755e-07,0.14998218184619236,0.008363084899096762,0.7070952516293111,-6.867242120712633e-09,6.843080375717142e-09,0.7071183105557947,0,0,0,odom,0.0007811839275928298,-3.5330648579981645,0.08676319620499554,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-1.5373162011405946e-05,-3.5436400953122735,0.10017729178391463,-0.0008869673496342902,-1.7527019313918715e-07,3.201775511611948e-05,0.9999996061317991
1970/01/01/03:00:40.805000,0,0,0,,0.0005431482568383217,0.16393863186240196,0.49367809295654297,0.0,0.0,0.0,0.0,0,40,780000000,camera_link_optical,1.412499425846388e-07,0.14998569422023544,0.004484748946479655,0.7071004878773233,-3.762718990107907e-09,3.465428116837565e-09,0.7071130744397616,0,0,0,odom,0.0005431378775211135,-3.5063219228175004,0.08605159497747364,7.327335814273356e-08,-5.025104279784613e-08,9.919954489354658e-06,0.9999999999507934,0,0,0,odom,-1.6957953673214428e-05,-3.4930813450833327,0.1001969772845481,-0.0009855805962570158,1.1446089786016237e-07,3.237837358009971e-05,0.9999995137911399
