time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:16.602000,213,16,575000000,camera_link_optical,-0.004339075647294521,-0.0023998834658414125,3.99872088432312,6.367116756011367e-07,0.9999956949034662,0.00025151803618827866,-0.0029235103567327547,0,16,570000000,camera_link_optical,-0.0019816333089115136,-1.1916971430964152e-05,4.0104376409698785,0.7070784253701105,0.0059759495633635975,-0.005975963997829809,0.7070846316087191,0,0,0,odom,-0.0019831009985045137,0.00406652640046827,0.2500015245671383,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.0020933514888531453,0.010437636219795996,0.2500022471397919,-4.49415927125111e-06,3.7938661539418666e-08,-0.008437348191977707,0.9999644049341398
1970/01/01/03:00:16.836000,220,16,810000000,camera_link_optical,-0.006412776652723551,-0.002413950627669692,4.008037567138672,-2.857906340863665e-05,0.9996083006492147,0.0003990838076103112,-0.027983659312910372,0,16,803000000,camera_link_optical,-0.003941396894972545,-1.0910480214454399e-05,4.021240470696079,0.7069939446292643,0.01215798855073012,-0.012157700021384284,0.707010562793897,0,0,0,odom,-0.004056802003933543,0.013383209216020028,0.2500155917289666,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.004055021807754269,0.021240354999658356,0.2500058745664036,-1.1747556219288282e-05,2.018662514086713e-07,-0.017179662455453923,0.9998524186398065
1970/01/01/03:00:17.068000,227,17,42000000,camera_link_optical,-0.00828432198613882,-0.0024301938246935606,4.019209861755371,-5.418705027200618e-06,0.9992814459021394,0.00021697131011133537,-0.03790177792423273,0,17,33000000,camera_link_optical,-0.005667618618794782,-1.1296288122353282e-05,4.031986879912094,0.7068526505739218,0.01831603815695628,-0.018315097788122563,0.7068864196714106,0,0,0,odom,-0.0059283473373488126,0.024555503832719247,0.25003183492599046,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.005783137804335301,0.03198667909805498,0.2500119060355578,-2.380467669763727e-05,6.164737922761329e-07,-0.025887807215857307,0.999664854273927
1970/01/01/03:00:17.302000,234,17,275000000,camera_link_optical,-0.009736936539411545,-0.0024499883875250816,4.030058860778809,2.347449414443477e-05,0.999382623973972,-0.0001361314987078999,-0.03513334336583453,0,17,270000000,camera_link_optical,-0.007169309385421935,-2.0872537910499034e-05,4.042719045356801,0.7066544192501102,0.024475691124374407,-0.024474113354301674,0.7067117446836402,0,0,0,odom,-0.007380961890621537,0.03540450285615675,0.250051629488822,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.00728658498897715,0.042718866011972764,0.25002031541136954,-4.0608166337479606e-05,1.4058273323664813e-06,-0.03459822473913582,0.9994013013769298
1970/01/01/03:00:17.535000,241,17,509000000,camera_link_optical,-0.010478846728801727,-0.0024639794137328863,4.042880058288574,-7.667292235276615e-06,0.9995321828786583,0.00013177167862115944,-0.030584276471118114,0,17,492000000,camera_link_optical,-0.008450996473385274,-3.075314412315233e-05,4.053479209719651,0.7063976707719727,0.03066383423014126,-0.03065941971820609,0.7064857110945565,0,0,0,odom,-0.00812287208001172,0.04822570036592237,0.2500656205150298,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.008570463054871868,0.05347892950575042,0.25003111627058133,-6.217793522557545e-05,2.6978012437314678e-06,-0.043347392595802114,0.9990600580954939
1970/01/01/03:00:17.768000,248,17,742000000,camera_link_optical,-0.011782963760197163,-0.0025043657515197992,4.056492805480957,-5.089382517797234e-05,0.9990269161831369,0.0005397648476756093,-0.0441013243036928,0,17,737000000,camera_link_optical,-0.009502780174817423,-4.686403934497929e-05,4.0641710831176825,0.7060852222927211,0.03682542197543358,-0.036819053235480036,0.7062095329822535,0,0,0,odom,-0.009426989111407155,0.061838447558305185,0.2501060068528167,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.009623968905929614,0.06417096512367057,0.25004417747835594,-8.824296227797804e-05,4.600145258936869e-06,-0.05205961158235812,0.9986439751152121
1970/01/01/03:00:18.002000,255,17,976000000,camera_link_optical,-0.012968393974006176,-0.0024896846152842045,4.067736625671387,-1.273904169707297e-05,0.9984378162053994,0.00022257758915108044,-0.055873763681416486,0,17,951000000,camera_link_optical,-0.010333337505798247,-5.618116117656058e-05,4.074883309521584,0.7057131924811707,0.04301405992626552,-0.043003791264344275,0.7058819692721912,0,0,0,odom,-0.010612419325216168,0.07308226774873487,0.2500913257165811,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.010456392367640609,0.07488279184744928,0.2500595709744754,-0.00011893566092298027,7.245748010046144e-06,-0.06080873700453244,0.9981494293469897
1970/01/01/03:00:18.235000,262,18,209000000,camera_link_optical,-0.013234665617346764,-0.002461862750351429,4.073269367218018,-3.7077973496012024e-05,0.9979562285761281,-2.8132259177227376e-05,-0.06390120249189947,0,18,203000000,camera_link_optical,-0.01093590249979604,-8.694609805104392e-05,4.085519212191878,0.7052865118252047,0.04917575462661798,-0.04916064392068245,0.7055040130882613,0,0,0,odom,-0.010878690968556756,0.07861500929536573,0.2500635038516483,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.011060939467271581,0.08551892436337548,0.25007712413426586,-0.00015389884687883924,1.072486252147934e-05,-0.06951906585922987,0.9975806111198146
1970/01/01/03:00:18.469000,269,18,443000000,camera_link_optical,-0.013891411945223808,-0.002518041292205453,4.079354763031006,-0.0001043799087333305,0.9963314038398983,0.0007193458901268798,-0.08557572885311879,0,18,437000000,camera_link_optical,-0.011315040490434244,-0.00010155366806866017,4.096121639618756,0.704802449664243,0.055336536512909054,-0.055315100199586034,0.7050756089696677,0,0,0,odom,-0.0115354372964338,0.08470040510835401,0.25011968239350235,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.011442043052307747,0.09612128695473003,0.25009685591480235,-0.00019315565911384887,1.515645673991112e-05,-0.07822706734317816,0.9969355487673508
1970/01/01/03:00:18.701000,276,18,675000000,camera_link_optical,-0.01388893835246563,-0.002613374497741461,4.092918872833252,-4.7801039050014285e-05,0.9964072745791523,0.00020305317371801005,-0.08469061134632926,0,18,665000000,camera_link_optical,-0.01147123489046542,-0.00011810325240352304,4.106686374784897,0.7042615183222154,0.06149576787459222,-0.06146650239942112,0.7045962343262872,0,0,0,odom,-0.011532963703675621,0.0982645149106001,0.25021501559903836,2.243197150432169e-11,-3.0480560509869702e-12,-1.903230026951679e-10,1.0,0,0,0,odom,-0.011600172582376486,0.10668597583970706,0.250118723238531,-0.00023660378690696352,2.0646569366832095e-05,-0.0869318191430243,0.9962142351988611
