time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:23.977000,440,23,951000000,camera_link_optical,-0.0023647695779800415,-0.002426105784252286,4.044668674468994,3.091093049150279e-06,0.9999997345410752,0.00021949027055327675,-0.0006947893533928627,0,23,948000000,camera_link_optical,0.00010141474270357402,-4.874207659322227e-06,4.05104890552791,0.7071052148219811,0.00010175794579572988,-0.00010174348682560915,0.7071083329060287,0,0,0,odom,-8.272690056250183e-06,0.05001504024815577,0.25001917778654015,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-6.177446288740201e-05,0.05104889866089249,0.25000109532526327,-2.1906748999509043e-06,2.7123969419580697e-10,-0.00012375629165438707,0.9999999923397905
1970/01/01/03:00:25.077000,473,25,50000000,camera_link_optical,-0.0024298832286149263,-0.002465781755745411,4.095656871795654,2.403768757294206e-06,0.9999998745192294,0.00011527344355605001,-0.00048751182591674514,0,25,40000000,camera_link_optical,4.9134167753397606e-05,-1.6725353947366628e-06,4.101915059504103,0.7071052364227935,0.00018930861660047295,-0.0001899098081321003,0.7071082751035925,0,0,0,odom,-7.338634069113502e-05,0.10100323757481593,0.2500588537580333,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.0001234350046769856,0.10191508606498295,0.25000110318474816,-2.2063938880510515e-06,5.453228773426268e-10,-0.0002470868024235909,0.9999999694716216
1970/01/01/03:00:26.177000,506,26,150000000,camera_link_optical,-0.0024973712861537933,-0.0024959242437034845,4.146762847900391,-4.163232793881683e-07,0.9999999341115,0.00016707728887767318,-0.00032227628208736337,0,26,148000000,camera_link_optical,-2.365421019776139e-06,-6.813602107608174e-06,4.15273515203978,0.707105036463202,0.0002774385794279691,-0.00027737102137964664,0.7071084170772718,0,0,0,odom,-0.00014087439823000201,0.15210921367955227,0.25008899624599135,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.00018504276963981036,0.15273506458761668,0.2500011128894813,-2.225803354781405e-06,8.244281247836857e-10,-0.0003703176706681638,0.9999999314299322
1970/01/01/03:00:27.278000,539,27,250000000,camera_link_optical,-0.0025714063085615635,-0.0025241298135370016,4.198039531707764,-8.474416728646807e-07,0.9999998927397119,0.00015626824438937263,-0.000436004681490665,0,27,233000000,camera_link_optical,-5.4065059594840406e-05,-4.897256709046616e-07,4.203555073088548,0.7071050448092401,0.0003652326664296086,-0.0003651603382327909,0.7071083289485066,0,0,0,odom,-0.00021490942063777217,0.20338589748692532,0.25011720181582486,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.0002466538037398819,0.20355502938814005,0.25000112488415455,-2.2497926866555078e-06,1.1106051010542843e-09,-0.0004935610060099187,0.9999998781962284
1970/01/01/03:00:28.378000,572,28,350000000,camera_link_optical,-0.0026673926040530205,-0.0025624155532568693,4.249388217926025,7.11616983437941e-06,0.9999994990680094,8.541082351579205e-05,-0.0009972552740916973,0,28,348000000,camera_link_optical,-0.00010547494477307256,-4.131254946415641e-06,4.254421008164856,0.70710527769643,0.00045303223141008063,-0.0004531591657006832,0.7071079943420401,0,0,0,odom,-0.00031089571612922916,0.25473458370518703,0.25015548755554473,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.0003083241643912595,0.254421176492919,0.25000113962429565,-2.2792729421035915e-06,1.4063656382007378e-09,-0.0006169289634308208,0.9999998096967114
1970/01/01/03:00:29.476000,605,29,450000000,camera_link_optical,-0.0028105368837714195,-0.0025883500929921865,4.2998366355896,1.0319021037944762e-05,0.9999990498322069,0.0003268068749968421,-0.001339188361555009,0,29,426000000,camera_link_optical,-0.00015670477915786214,-1.0299765801663474e-05,4.305148752688516,0.7071048856305509,0.0005407774128025422,-0.0005407039213612536,0.7071082632217394,0,0,0,odom,-0.00045403999584762815,0.30518300136876125,0.25018142209528005,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.00036982983270254495,0.3051487018992358,0.2500011574910476,-2.3150064094044118e-06,1.7132798798839513e-09,-0.0007399734035751453,0.9999997262169639
1970/01/01/03:00:30.577000,638,30,550000000,camera_link_optical,-0.00308748590759933,-0.0026278600562363863,4.345776557922363,2.3039692594436084e-06,0.9999944092836731,-2.4438184440421265e-05,-0.0033437701572482073,0,30,548000000,camera_link_optical,-0.00020743154373883103,-7.740258993749194e-07,4.3560148471734035,0.707104793307229,0.0006289646086722581,-0.0006283596657873494,0.7071082101415541,0,0,0,odom,-0.0007309890196755386,0.3511229237015249,0.25022093205852425,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.000431506947238333,0.35601480092782983,0.25000117902805835,-2.358080386013257e-06,2.0361452938195637e-09,-0.00086336679899108,0.9999996272960356
1970/01/01/03:00:31.677000,671,31,650000000,camera_link_optical,-0.003060759976506233,-0.002654832089319825,4.3897881507873535,2.598250328238194e-06,0.9999966931959806,-2.8194112370014262e-05,-0.0025715356200231125,0,31,648000000,camera_link_optical,-0.00025853399764565405,-8.578337095749289e-06,4.406834580712522,0.707104869968584,0.0007164678939095973,-0.0007165277356553731,0.7071079663873636,0,0,0,odom,-0.0007042630885824418,0.39513451656651516,0.2502479040916077,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.0004931314821365611,0.40683466980738653,0.250001204615379,-2.409254976265047e-06,2.377394798605028e-09,-0.0009866609873715275,0.9999995132470274
1970/01/01/03:00:32.777000,704,32,750000000,camera_link_optical,-0.00283323903568089,-0.002667909488081932,4.440290451049805,5.540970607163352e-07,0.9999999961406659,5.302338002090389e-05,7.004914253545045e-05,0,32,741000000,camera_link_optical,-0.0003092076721945984,-1.853957111302984e-06,4.457608293006761,0.7071046289159044,0.0008042267275315312,-0.0008042933760776592,0.7071080186910887,0,0,0,odom,-0.0004767421477570987,0.44563681682896633,0.2502609814903698,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.0005547034691394775,0.4576083043269112,0.2500012346922198,-2.4694086020553516e-06,2.7409845429982466e-09,-0.0011098560322079748,0.9999993841065552
1970/01/01/03:00:33.876000,737,33,851000000,camera_link_optical,-0.002791389124467969,-0.002700718818232417,4.497758865356445,2.751700935904241e-06,0.9999999250898953,0.00018247152285575684,0.00034134553648380644,0,33,849000000,camera_link_optical,-0.0003595186122857351,1.561480386658154e-06,4.508428283819451,0.7071042030403104,0.0008922255000176359,-0.0008920169913518346,0.707108233781839,0,0,0,odom,-0.00043489223654417757,0.503105231135607,0.2502937908205203,2.2431971503605898e-11,-3.0480560501977163e-12,-1.9032310223969103e-10,1.0,0,0,0,odom,-0.0006163349999235048,0.5084281000131419,0.25000126976646925,-2.539557040619063e-06,3.1320372286269763e-09,-0.0012331762270600087,0.9999992396346827
