time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:18.188000,173,18,156000000,camera_link_optical,-0.0005950284539721906,-0.0006161972996778786,0.845660924911499,9.223677280406433e-07,0.9999999990389695,-7.435468501883294e-07,-4.382530604820528e-05,0,18,156000000,camera_link_optical,2.597954111343073e-05,-6.10325273320278e-07,0.8513272463687743,0.7071070682437933,1.0771033669451524e-05,-1.0825143293858787e-05,0.7071064939642886,0,0,0,odom,-3.7586068093372936e-05,0.04964255313542599,0.2500364135988056,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1268136750474784e-09,0.05132744883308835,0.24999999999513364,-9.858316588130136e-12,-4.838096751521467e-15,-2.3288605059330993e-09,1.0
1970/01/01/03:00:19.288000,206,19,256000000,camera_link_optical,-0.0006278716027736664,-0.0006543138879351318,0.8963159322738647,2.5796359534036677e-06,0.9999999999785003,6.006145880867781e-06,-5.205821069163294e-07,0,19,277000000,camera_link_optical,2.9223526467239888e-05,-1.0432378072522397e-07,0.9021012132480225,0.707106832294904,1.1428759773535569e-05,-1.1499495697461984e-05,0.7071067298923209,0,0,0,odom,-7.04292168948487e-05,0.1002975604977917,0.2500745301870628,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1267114442593198e-09,0.10210124883307121,0.24999999999516023,-9.911547778247046e-12,4.8390053661148275e-15,-2.329074647736074e-09,1.0
1970/01/01/03:00:20.387000,239,20,356000000,camera_link_optical,-0.0006476928247138858,-0.0006913791294209659,0.9469249844551086,-1.2065240065018893e-06,0.9999999998909564,-4.078011358369491e-06,1.4142179861654278e-05,0,20,348000000,camera_link_optical,3.282943732446971e-05,1.3121217695699627e-08,0.9529212780968499,0.7071067403357599,1.2403467069071727e-05,-1.180141813693674e-05,0.707106821830066,0,0,0,odom,-9.025043883506811e-05,0.1509066126790356,0.25011159542854866,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1265994222151466e-09,0.15292124883304714,0.24999999999518704,-9.965115221852108e-12,4.8390033848435595e-15,-2.329298691832495e-09,1.0
1970/01/01/03:00:21.487000,272,21,456000000,camera_link_optical,-0.0007002850179560483,-0.0007277183467522264,0.9974585175514221,1.617899347649823e-08,0.9999999998999821,1.838961004643826e-07,-1.4142194039424346e-05,0,21,470000000,camera_link_optical,3.62214176397369e-05,-9.920252958872666e-06,1.0037412121223384,0.7071068328765563,1.2732887042664266e-05,-1.280395189864791e-05,0.7071067292659703,0,0,0,odom,-0.00014284263207723057,0.20144014577534908,0.2501479346458799,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1264873893975303e-09,0.2037412488330161,0.24999999999521397,-1.0018972174653852e-11,4.839005925503244e-15,-2.3295227574803052e-09,1.0
1970/01/01/03:00:22.589000,305,22,557000000,camera_link_optical,-0.0007309740176424384,-0.0007647753227502108,1.0482186079025269,1.212460944642559e-09,0.9999999999945732,-4.5810229593176036e-08,3.294148715637698e-06,0,22,541000000,camera_link_optical,3.996248321685201e-05,-1.2642021701703143e-07,1.054653612964025,0.7071068322607343,1.3370787263375464e-05,-1.344152290599828e-05,0.7071067298581858,0,0,0,odom,-0.00017353163176362074,0.2522002361264538,0.2501849916218779,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1263751420704238e-09,0.2546536488329848,0.2499999999952411,-1.0073218919164058e-11,4.8390033370440965e-15,-2.3297472521420066e-09,1.0
1970/01/01/03:00:23.687000,338,23,656000000,camera_link_optical,-0.0007444945513270795,-0.0008036497747525573,1.0986597537994385,-6.778481571469677e-07,0.9999999975750129,-1.4350319310319518e-05,6.81438400881889e-05,0,23,664000000,camera_link_optical,4.40214325509039e-05,9.7886477368192e-07,1.105381451724744,0.7071064938923916,1.4102313097839344e-05,-1.4048206134561321e-05,0.7071070682004118,0,0,0,odom,-0.00018705216544826186,0.30264138202336544,0.25022386607388025,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1262632914196644e-09,0.30538124883295353,0.24999999999526826,-1.0127560877521196e-11,4.839003684669789e-15,-2.3299709534539115e-09,1.0
1970/01/01/03:00:24.788000,371,24,756000000,camera_link_optical,-0.0007972938474267721,-0.0008385332184843719,1.1492646932601929,-9.922829756380169e-08,0.9999999935110294,2.8455849219781384e-07,-0.00011392036910263975,0,24,778000000,camera_link_optical,4.820728209428609e-05,-1.2252930709499843e-06,1.1562012744392964,0.7071067442402451,1.4762420932703324e-05,-1.47115374740719e-05,0.7071068178257102,0,0,0,odom,-0.00023985146154795444,0.35324632148411983,0.25025874951761207,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1261512262650762e-09,0.35620124883292203,0.24999999999529562,-1.0182295770487971e-11,4.83900385434801e-15,-2.3301950837733114e-09,1.0
1970/01/01/03:00:25.887000,404,25,856000000,camera_link_optical,-0.0008387629059143364,-0.0008757890318520367,1.1999001502990723,1.163841841274937e-06,0.9999999995946638,-9.604182735410748e-06,2.6778305247857112e-05,0,25,856000000,camera_link_optical,5.228840916521237e-05,-2.3581100117020526e-07,1.2070212195699774,0.7071068217534914,1.5078588737618876e-05,-1.568063727787073e-05,0.7071067402849657,0,0,0,odom,-0.00028132052003551877,0.4038817785229992,0.25029600533097973,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1260391503281578e-09,0.40702124883289037,0.24999999999532316,-1.0237326480992473e-11,4.839004069042447e-15,-2.330419235657422e-09,1.0
1970/01/01/03:00:26.988000,437,26,956000000,camera_link_optical,-0.0008707271772436798,-0.0009124294738285244,1.2505794763565063,4.692505402568533e-08,0.9999999995209391,4.167538453008788e-07,3.095070375014801e-05,0,26,978000000,camera_link_optical,5.7108406642487216e-05,-9.588811711119805e-06,1.2578874852947446,0.7071067291846721,1.6081121693257753e-05,-1.6010057316914074e-05,0.7071068328243127,0,0,0,odom,-0.0003132847913648621,0.4545611045804333,0.2503326457729562,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.125917283054126e-09,0.45788744883285853,0.24999999999535086,-1.0292705050123654e-11,-4.838095705591087e-15,-2.330653290001288e-09,1.0
1970/01/01/03:00:28.087000,470,28,56000000,camera_link_optical,-0.0008986786124296486,-0.0009490867960266769,1.3009798526763916,-3.6162773097570436e-07,0.999999995108894,-9.33627121158592e-07,-9.889999798854948e-05,0,28,49000000,camera_link_optical,6.177277041518312e-05,2.1588602575062232e-07,1.3086612841878638,0.7071067297738548,1.671869234272232e-05,-1.6647957160426796e-05,0.7071068322056119,0,0,0,odom,-0.00034123622655083096,0.5049614809003186,0.25036930309515437,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1258149661172815e-09,0.5086612488328314,0.2499999999953786,-1.034828176775973e-11,4.839005622719327e-15,-2.3308676041008743e-09,1.0
1970/01/01/03:00:29.187000,503,29,157000000,camera_link_optical,-0.000933596573304385,-0.0009864864405244589,1.3520677089691162,9.064667749576808e-08,0.9999999999537927,-1.0603926764502177e-07,9.612241048142323e-06,0,29,172000000,camera_link_optical,6.669970852261844e-05,-1.023037159486595e-06,1.3594810451281663,0.7071070681131912,1.7325376762767436e-05,-1.737948105008461e-05,0.7071064938339569,0,0,0,odom,-0.00037615418742556727,0.5560493371930432,0.25040670273965215,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1257028578345543e-09,0.5594812488328272,0.2499999999954066,-1.0404209562752181e-11,4.839005586573545e-15,-2.331091820676361e-09,1.0
1970/01/01/03:00:30.288000,536,30,256000000,camera_link_optical,-0.0009817184181883931,-0.0010227716993540525,1.402511715888977,1.3124992469131754e-06,0.9999999985901848,9.808734900103772e-06,-5.2169880494878405e-05,0,30,242000000,camera_link_optical,7.177142182201809e-05,-9.566474731215191e-06,1.410301284764958,0.7071067291377208,1.8023147366038927e-05,-1.7952083260543564e-05,0.7071068327777938,0,0,0,odom,-0.00042427603230957544,0.606493344112904,0.25044298799848175,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1255907387685438e-09,0.6103012488328231,0.24999999999543468,-1.0460439613272133e-11,4.839004639752068e-15,-2.3313160588175234e-09,1.0
1970/01/01/03:00:31.387000,569,31,356000000,camera_link_optical,-0.0009374676155857742,-0.0010585132986307144,1.4534016847610474,6.066256235446453e-07,0.999999998997037,7.309588656630472e-06,4.4182892767205227e-05,0,31,364000000,camera_link_optical,7.73101463556206e-05,7.171150864793141e-08,1.4611212766207702,0.7071067401900221,1.895780564963641e-05,-1.835575747264369e-05,0.7071068216906893,0,0,0,odom,-0.0003800252297069565,0.6573833129849743,0.2504787295977584,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1254786089165507e-09,0.661121248832819,0.249999999995463,-1.0516973568033034e-11,4.839006041254507e-15,-2.331540318533008e-09,1.0
1970/01/01/03:00:32.487000,602,32,458000000,camera_link_optical,-0.0010172359179705381,-0.001107527525164187,1.504472017288208,-1.5709616767759882e-07,0.9999999984442004,-2.0058094402524155e-05,5.205043212429053e-05,0,32,478000000,camera_link_optical,8.258350798448288e-05,-8.606831238516799e-06,1.511941184478065,0.7071068696430716,1.9284116268179882e-05,-1.9352519585458375e-05,0.7071066922022298,0,0,0,odom,-0.0004597935320917205,0.708453645512135,0.2505277438242919,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1253664682779839e-09,0.7119412488328148,0.2499999999954914,-1.0573813060924912e-11,4.8390050464468354e-15,-2.331764599819247e-09,1.0
1970/01/01/03:00:33.587000,635,33,556000000,camera_link_optical,-0.0009709916776046157,-0.0011329354019835591,1.5546289682388306,1.1786345708905222e-06,0.9999999801346703,4.9516948143369046e-05,0.00019307340988850233,0,33,557000000,camera_link_optical,8.819789671708818e-05,-2.000182653671967e-07,1.5627612112316838,0.7071068321060261,1.992512522076761e-05,-1.999585991397757e-05,0.7071067297036107,0,0,0,odom,-0.00041354929172579807,0.7586105964627575,0.25055315170111125,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1252543168533882e-09,0.7627612488328107,0.24999999999551994,-1.0630959743070722e-11,4.839006850014539e-15,-2.3319889026803543e-09,1.0
1970/01/01/03:00:34.688000,668,34,656000000,camera_link_optical,-0.00111189647577703,-0.0011701926123350859,1.6055938005447388,2.944740018504213e-07,0.9999999949802489,6.6966591059135614e-06,-9.997284708924404e-05,0,34,678000000,camera_link_optical,9.416900253374605e-05,1.3415612931388932e-06,1.6136276431638104,0.7071065032079914,2.066600036987108e-05,-2.0590823885183666e-05,0.7071070585632004,0,0,0,odom,-0.0005544540898982124,0.8095754287686657,0.2505904089114628,2.243197150429269e-11,-3.04805605057796e-12,-1.9032148886026923e-10,1.0,0,0,0,odom,1.1251323740130724e-09,0.8136274488328066,0.2499999999955487,-1.0688467659186136e-11,-4.838095283970525e-15,-2.3322231081544637e-09,1.0
