time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:26.271000,512,26,247000000,camera_link_optical,-0.0006404671585187316,-0.0006294762715697289,1.0475733280181885,-5.442607092495278e-07,0.9999999997601171,5.125641973874166e-07,-2.1890797446611344e-05,0,26,243000000,camera_link_optical,-9.06706623642657e-06,-4.897970917738803e-12,1.0569968102818939,0.7071067811791344,2.954227243397289e-06,-2.954229142816642e-06,0.7071067811816181,0,0,0,odom,-1.73287417467866e-05,0.1862415682169763,0.25003050604810817,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666609611177562e-05,0.19082241241329764,0.24999999999509867,-1.7568844251383674e-12,-1.3410855327507723e-12,-1.2329151460753883e-05,0.9999999999239961
1970/01/01/03:00:26.564000,521,26,547000000,camera_link_optical,-0.0006755276117473841,-0.0006640152423642576,1.1043660640716553,-3.3221658271821904e-09,0.9999999999999809,-2.033987418565817e-08,-1.9470718887765427e-07,0,26,520000000,camera_link_optical,-9.975581879801389e-06,-4.898220717919344e-12,1.1127254102744886,0.7071067811801275,2.9542326568405903e-06,-2.9542312827634086e-06,0.7071067811806249,0,0,0,odom,-5.2389194975439076e-05,0.2430343042704431,0.2500650450189027,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666608568972806e-05,0.24655101241329785,0.2499999999950989,-3.523297392434212e-13,9.73614617474922e-13,-1.2329156803530325e-05,0.9999999999239959
1970/01/01/03:00:26.835000,529,26,814000000,camera_link_optical,-0.0007028696709312499,-0.0006939313025213778,1.1548552513122559,3.4965552621502656e-07,0.9999999999662835,6.083012583002339e-07,8.181729202331107e-06,0,26,809000000,camera_link_optical,-1.0815883535536516e-05,-4.894362692908771e-12,1.164269610267647,0.7071067811791334,2.9542344579705972e-06,-2.95423635175445e-06,0.7071067811816191,0,0,0,odom,-7.973125415930486e-05,0.2935234915110437,0.2500949610790598,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666605399112358e-05,0.2980952124133055,0.24999999999509867,-1.7568844250287995e-12,-1.341085534054566e-12,-1.2329161662875437e-05,0.9999999999239959
1970/01/01/03:00:27.105000,537,27,81000000,camera_link_optical,-0.0007338722352869809,-0.0007248431793414056,1.2055249214172363,6.3765534089567254e-09,0.9999999999967545,-5.686644777522777e-08,-2.547106473008005e-06,0,27,76000000,camera_link_optical,-1.1653083307863426e-05,-4.898192962343728e-12,1.2156236102608307,0.7071067811791343,2.954237907643027e-06,-2.954239807062385e-06,0.7071067811816181,0,0,0,odom,-0.00011073381851503587,0.34419316161602415,0.25012587295587985,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666603382698152e-05,0.3494492124133134,0.24999999999509867,-1.7568844244979038e-12,-1.341085534330438e-12,-1.23291665468698e-05,0.9999999999239959
1970/01/01/03:00:27.414000,546,27,382000000,camera_link_optical,-0.0007690204074606299,-0.0007582585676573217,1.2624200582504272,-9.757415258221588e-07,0.999999999695298,1.298696346753578e-06,-2.4632609471954486e-05,0,27,387000000,camera_link_optical,-1.260811119553597e-05,-4.894362692908771e-12,1.2742052102530554,0.7071067811791333,2.9542418485937453e-06,-2.9542437423775985e-06,0.7071067811816191,0,0,0,odom,-0.00014588199068868495,0.40108829844921506,0.25015928834419576,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666601082492306e-05,0.4080308124133224,0.24999999999509867,-1.756884424499329e-12,-1.34108553451523e-12,-1.2329172118241146e-05,0.9999999999239959
1970/01/01/03:00:27.699000,555,27,682000000,camera_link_optical,-0.0008036423241719604,-0.0007929608691483736,1.319209337234497,-1.9786286947707784e-08,0.999999999919693,1.4294177665507765e-06,-1.2592471697109748e-05,0,27,676000000,camera_link_optical,-1.3491820921551894e-05,-4.898553784826731e-12,1.3284122102458595,0.7071067811801275,2.954247157096279e-06,-2.954245783019094e-06,0.7071067811806249,0,0,0,odom,-0.00018050390740001536,0.4578775774332849,0.2501939906456868,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666600100033117e-05,0.4622378124133305,0.2499999999950989,-3.5232974285373933e-13,9.736146189434675e-13,-1.2329177316306644e-05,0.9999999999239957
1970/01/01/03:00:27.968000,563,27,947000000,camera_link_optical,-0.0008312573190778494,-0.0008233108092099428,1.3694703578948975,-3.385684525624415e-09,0.9999999999450716,8.503425608894542e-07,-1.0446705522508823e-05,0,27,943000000,camera_link_optical,-1.4329020693425705e-05,-4.894334937333156e-12,1.3797662102390436,0.7071067811801264,2.954250612404207e-06,-2.954249232691525e-06,0.707106781180626,0,0,0,odom,-0.0002081189023059044,0.5081385980936852,0.2502243405857484,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666598083618895e-05,0.5135918124133384,0.2499999999950989,-3.5232974201280967e-13,9.736146161082616e-13,-1.2329182200301006e-05,0.9999999999239957
1970/01/01/03:00:28.239000,571,28,214000000,camera_link_optical,-0.0008657107246108353,-0.0008526241290383041,1.4199700355529785,8.368143996501986e-07,0.9999999995566845,3.8065392575760454e-06,2.9520180484291848e-05,0,28,202000000,camera_link_optical,-1.5166220466396616e-05,-4.89430718175754e-12,1.4311202102322276,0.7071067811801264,2.9542540646913195e-06,-2.9542526849786315e-06,0.707106781180626,0,0,0,odom,-0.00024257230783889032,0.5586382757517663,0.25025365390557675,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666596067204687e-05,0.5649458124133463,0.2499999999950989,-3.5232974230759475e-13,9.736146170712646e-13,-1.2329187084295369e-05,0.9999999999239957
1970/01/01/03:00:28.510000,579,28,482000000,camera_link_optical,-0.0008967072353698313,-0.0008834294276311994,1.4707266092300415,-7.662875371154196e-07,0.9999999998782472,-3.877326520406564e-06,1.5095856113965491e-05,0,28,508000000,camera_link_optical,-1.60096217202281e-05,-4.894223915030693e-12,1.4828546102253606,0.7071067811801265,2.9542575425599533e-06,-2.954256162847268e-06,0.7071067811806259,0,0,0,odom,-0.00027356881859788633,0.6093948494288293,0.25028445920416964,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.4666594035854083e-05,0.6166802124133542,0.2499999999950989,-3.523297423357e-13,9.736146171309535e-13,-1.2329192004467464e-05,0.9999999999239955
1970/01/01/03:00:28.799000,588,28,781000000,camera_link_optical,-0.0009314081398770213,-0.0009183126385323703,1.5272737741470337,-1.4753670581391927e-08,0.9999999999334367,6.523483757603885e-07,1.1519589361769971e-05,0,28,763000000,camera_link_optical,-1.6905736699571672e-05,-4.898553784826731e-12,1.537822410218064,0.7071067811791343,2.9542595682881633e-06,-2.9542614677075236e-06,0.707106781181618,0,0,0,odom,-0.0003082697231050763,0.6659420143458215,0.2503193424150708,-1.9755424249097193e-17,3.951368967906727e-17,-1.2329146167275922e-05,0.9999999999239961,0,0,0,odom,1.466659073156602e-05,0.6716480124133629,0.24999999999509867,-1.7568844203465485e-12,-1.3410855359967844e-12,-1.23291971894122e-05,0.9999999999239955
