time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:25.661000,310,25,643000000,camera_link_optical,-0.0031104362569749355,-0.0024034008383750916,4.000181198120117,1.6742087156816489e-06,0.9999987154786125,0.00010131016984319782,-0.0015996170077729275,0,25,638000000,camera_link_optical,-0.0010865789572726031,7.826023162849083e-11,4.011318312196863,0.7070799465075361,0.00615106498796278,-0.006151221633853742,0.7070801058711981,0,0,0,odom,-0.0007084901469130693,0.005555152890616069,0.2500044738310187,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0010863922842753392,0.011318312245208729,0.2499999999898181,-1.1267622545768609e-07,-1.1077676992014486e-07,-0.008699053562107522,0.9999621625177119
1970/01/01/03:00:25.900000,317,25,876000000,camera_link_optical,-0.004353041760623455,-0.0024052427615970373,4.008663654327393,-3.922104521192321e-06,0.999620968054182,0.0002465311669025177,-0.027529246873480448,0,25,856000000,camera_link_optical,-0.00192403168056776,-9.876927054008888e-11,4.022309311342968,0.707002717164971,0.012130865441352194,-0.012130865451211541,0.7070027172001508,0,0,0,odom,-0.0019510956505615889,0.014037609097891458,0.25000631575424065,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0019238426232983448,0.022309311438791564,0.24999999999333689,-3.587470726397655e-11,4.336572342101305e-12,-0.01715565793436569,0.9998528308710433
1970/01/01/03:00:26.137000,324,26,109000000,camera_link_optical,-0.004991535563021898,-0.0024071719963103533,4.0200958251953125,-6.913713729796628e-06,0.9993695247876782,0.00017290366987257507,-0.03550384461113905,0,26,105000000,camera_link_optical,-0.0025414327910180438,-1.0380716357061281e-06,4.033291543298708,0.7068740062593025,0.018113604624696397,-0.018113566947450237,0.7068754736832109,0,0,0,odom,-0.002589589452960032,0.02546977996581138,0.25000824498895396,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0025412417263168175,0.03329154342092495,0.2500010379659802,-1.0376364898846013e-06,2.6653075534514534e-08,-0.025616502359884667,0.9996718435595597
1970/01/01/03:00:26.363000,331,26,343000000,camera_link_optical,-0.00549151748418808,-0.0024163336493074894,4.033424377441406,-1.8012004714826473e-05,0.9992985442909961,0.00025493448278994274,-0.037448018130115904,0,26,315000000,camera_link_optical,-0.0029349901149383715,7.509226573887418e-11,4.043711439828845,0.7067061809305343,0.023798608922877607,-0.02379860889762516,0.7067061809991848,0,0,0,odom,-0.0030895713741262137,0.03879833221190513,0.2500174066419511,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0029347966898041382,0.04371143996402816,0.24999999999364364,-3.735887976891476e-11,6.731083835496051e-12,-0.0336563393904928,0.9994334649284224
1970/01/01/03:00:26.602000,338,26,576000000,camera_link_optical,-0.005301181226968765,-0.002429230371490121,4.043581962585449,-7.83516270820008e-06,0.9996319336126108,0.0001189287222003511,-0.02712900839474637,0,26,571000000,camera_link_optical,-0.0031340189374333624,8.993430481996079e-07,4.054715547175192,0.7064778463883943,0.029812711113188613,-0.02981420621980894,0.7064781439832237,0,0,0,odom,-0.002899235116906899,0.0489559173559481,0.25003030336413373,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0031338230944212347,0.05471554733195352,0.249999100550847,-2.1044262578267937e-07,-1.057188995253172e-06,-0.042162621715258274,0.9991107612917269
1970/01/01/03:00:26.827000,345,26,809000000,camera_link_optical,-0.005407280754297972,-0.002434351947158575,4.058787822723389,-8.266357412817213e-06,0.9989231763351849,0.00026352057546542385,-0.04639416201418744,0,26,805000000,camera_link_optical,-0.003124366137234763,-1.0028139429962835e-10,4.065055845851552,0.706216272969273,0.03547641140101534,-0.0354764114036632,0.7062162730080729,0,0,0,odom,-0.0030053346442361056,0.06416177749388755,0.2500354249398022,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.00312416829035192,0.0650558460065803,0.24999999999395295,-3.8801919617660986e-11,9.066399507710566e-12,-0.05017124645360446,0.9987406300082577
1970/01/01/03:00:27.065000,352,27,44000000,camera_link_optical,-0.005625130608677864,-0.0024413890205323696,4.068730354309082,-1.5338045139979344e-05,0.9984762574117155,0.00021281462509508184,-0.05518258656291323,0,27,29000000,camera_link_optical,-0.0028915910180606808,2.591611967139862e-06,4.075929205396225,0.7058894330037926,0.04144314926082795,-0.04144293457499683,0.705893091712011,0,0,0,odom,-0.003223184498615998,0.0741043090795809,0.250042462013176,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.002891390761627218,0.07592920553308427,0.24999740845746585,-2.587085929227602e-06,1.5179502829623623e-07,-0.05860933647058201,0.9982809953473832
1970/01/01/03:00:27.310000,359,27,276000000,camera_link_optical,-0.005116356071084738,-0.00244359252974391,4.073827266693115,-2.198957373668609e-05,0.9973982025578841,0.00023211685035178748,-0.07208863414247989,0,27,284000000,camera_link_optical,-0.0024472871849368786,2.166679969189955e-06,4.087184543055682,0.7055003556064587,0.04763968363294009,-0.047636626300951196,0.7055001492680048,0,0,0,odom,-0.0027144099610228716,0.07920122146361411,0.2500446655223875,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0024470844689490753,0.0871845431824508,0.2499978332132086,1.4589182064501064e-07,2.1618709193429277e-06,-0.06737054958261651,0.9977280235837025
1970/01/01/03:00:27.542000,366,27,509000000,camera_link_optical,-0.004699274897575378,-0.0024459820706397295,4.079996585845947,-2.6717508665557583e-05,0.9968330040702071,0.00011320597318240453,-0.07952325739649342,0,27,538000000,camera_link_optical,-0.001806138306125152,2.1504581952658253e-06,4.097769992625167,0.7050814473278705,0.05348342681005721,-0.053480394166446045,0.7050812174001589,0,0,0,odom,-0.0022973287875135123,0.08537054061644614,0.25004705506328334,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0018059335505516256,0.09776999271676437,0.24999784943473904,1.6257185593788587e-07,2.1444135034989635e-06,-0.07563486806623211,0.997135580915644
1970/01/01/03:00:27.768000,373,27,743000000,camera_link_optical,-0.003920143004506826,-0.002450124826282263,4.095019817352295,-2.556238141901881e-05,0.9964903349704083,0.0002490385667176894,-0.08370752437457704,0,27,738000000,camera_link_optical,-0.0009727156892330959,2.553525991044747e-06,4.1080512294005755,0.7046245630668251,0.05917522505506572,-0.05917492297761213,0.7046281617655952,0,0,0,odom,-0.0015181968944449602,0.1003937721227938,0.2500511978189259,4.901063642152565e-12,-4.902435345823276e-12,-1.3212534271855756e-11,1.0,0,0,0,odom,-0.0009725088960599906,0.10805122945128487,0.2499974463667017,-2.5446760257364716e-06,2.1361163073038754e-07,-0.08368621730915009,0.9964921560283175
