time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:01:09.037000,0,0,0,,5.348026752471924e-05,0.15046785513404756,0.04880654811859131,0.0,0.0,0.0,0.0,0,69,2000000,camera_link_optical,-6.130163495267696e-08,0.14999626099868613,0.0013624049615614808,0.7070978994551194,4.723950854227657e-09,-4.216205937733235e-07,0.7071156628062908,0,0,0,odom,5.348730953599625e-05,-0.7511933716395996,0.0995322259623544,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-3.6475701138411977e-06,-0.7496208298385942,0.10008294293921091,-0.00046364626131867716,-1.739999391157782e-07,5.691431345353859e-05,0.9999998908964317
1970/01/01/03:01:10.313000,0,0,0,,0.00014004111289978027,0.15108491803985089,0.09985208511352539,0.0,0.0,0.0,0.0,0,70,278000000,camera_link_optical,-6.039581270530733e-08,0.1500046748762814,0.001412406904335306,0.7070978687092998,5.145938474332389e-09,-4.208948341072926e-07,0.7071156935513372,0,0,0,odom,0.00014004815491105727,-0.7001478346446656,0.09891516305655108,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-7.2869626791805185e-06,-0.6984906785163985,0.10017725646925701,-0.0009358751685042325,-2.0095333935609564e-07,5.6997770095031896e-05,0.9999995604443448
1970/01/01/03:01:11.577000,0,0,0,,7.854029536247253e-05,0.15206107983831316,0.15044891834259033,0.0,0.0,0.0,0.0,0,71,545000000,camera_link_optical,3.6115553210200064e-08,0.1499955957384138,0.0012776011012342048,0.7070984452151549,-3.8488021358494176e-10,-6.352212520925316e-08,0.707115117059667,0,0,0,odom,7.854733737374953e-05,-0.6495510014156006,0.09793900125808881,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-1.0897398340641875e-05,-0.6478417835447057,0.10027091648530305,-0.0014052751649139778,-2.2782357089318043e-07,5.708082940139377e-05,0.9999990109712298
1970/01/01/03:01:12.842000,0,0,0,,6.919354200363159e-05,0.15288693571928888,0.2011955976486206,0.0,0.0,0.0,0.0,0,72,812000000,camera_link_optical,1.7104335183703537e-07,0.1499901975051057,0.0011989522915173412,0.7070987805135291,-8.98752003113694e-09,4.2339214205242083e-07,0.7071147817689152,0,0,0,odom,6.920058401490859e-05,-0.5988043221095704,0.09711314537711309,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-1.4393599547603954e-05,-0.5971631545976466,0.10037475668125657,-0.0018770312392478972,3.9055548280149276e-08,5.746793589442539e-05,0.9999982367240263
1970/01/01/03:01:14.114000,0,0,0,,3.730505704879761e-05,0.1536774572217837,0.25185656547546387,0.0,0.0,0.0,0.0,0,74,102000000,camera_link_optical,2.012122682458885e-08,0.14998728296227143,0.00043078017956343917,0.7071036029469315,-5.828656428137067e-10,-1.6094749870038195e-10,0.7071099594118784,0,0,0,odom,3.731209906007461e-05,-0.5481433542827271,0.09632262387461828,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-1.8037534853910476e-05,-0.5461945174141442,0.10046947829046902,-0.002352654228480995,1.1521842168933705e-08,5.755246193401577e-05,0.9999972308490637
1970/01/01/03:01:15.374000,0,0,0,,2.143159508705139e-05,0.15437254284042864,0.3026350736618042,0.0,0.0,0.0,0.0,0,75,326000000,camera_link_optical,-3.991031500001998e-08,0.14998621306071175,0.0018431351294911913,0.7070945569232299,6.174321382385903e-09,-4.2103908976921126e-07,0.7071190052384136,0,0,0,odom,2.1438637098328392e-05,-0.49736484609638676,0.09562753825597332,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-2.1771912130670828e-05,-0.495737261816942,0.10055358978331505,-0.002824655423793363,-3.095508228671879e-07,5.7332609366989796e-05,0.9999960090093425
1970/01/01/03:01:16.656000,0,0,0,,-1.8496066331863403e-05,0.1549191537545994,0.35332608222961426,0.0,0.0,0.0,0.0,0,76,645000000,camera_link_optical,1.1877852011502076e-07,0.14999818633092823,0.00039008800915019126,0.7071042352685946,-7.920797204776217e-09,3.5988465591030574e-07,0.7071093270952424,0,0,0,odom,-1.8489024320586403e-05,-0.4466738375285767,0.09508092734180258,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-2.5335051459479876e-05,-0.4443687550222602,0.10064952872905446,-0.0033073169573371052,-4.3464554890211487e-08,5.772293925430598e-05,0.9999945291463369
1970/01/01/03:01:17.905000,0,0,0,,-4.355981945991516e-05,0.15544390373397618,0.4040103554725647,0.0,0.0,0.0,0.0,0,77,877000000,camera_link_optical,4.8398421838039495e-08,0.14998944016615295,0.0011218719618107942,0.7070992890224325,-1.3475756747050283e-09,1.3274322486235615e-09,0.7071142732712802,0,0,0,odom,-4.355277744863816e-05,-0.39598956428562626,0.09455617736242579,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-2.9052177564613853e-05,-0.3942828603924436,0.10074330325474062,-0.0037795447939639975,-3.6493761125666803e-07,5.750252337871189e-05,0.9999928558417192
1970/01/01/03:01:19.177000,0,0,0,,-6.347522139549255e-05,0.1558230689028278,0.45472657680511475,0.0,0.0,0.0,0.0,0,79,145000000,camera_link_optical,5.162266476363886e-08,0.14999567250293278,0.0012556713268168096,0.7070986619029477,-1.4745834072263563e-09,7.994674625051896e-10,0.7071149003769195,0,0,0,odom,-6.346817938421555e-05,-0.3452733429530762,0.09417701219357417,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-3.271772550693641e-05,-0.3433158622580914,0.10083896146353086,-0.004261724887092198,-3.930298890373414e-07,5.758848504417101e-05,0.9999909171509505
1970/01/01/03:01:20.440000,0,0,0,,-0.00010564550757408142,0.15614565995056182,0.5054031610488892,0.0,0.0,0.0,0.0,0,80,412000000,camera_link_optical,-3.8143353188954134e-08,0.14998062851875335,0.001074493527670528,0.7070993115901755,5.948740371266005e-09,-3.0517896923945606e-07,0.7071142507039487,0,0,0,odom,-0.00010563846556280442,-0.2945967587093018,0.09385442114584015,-4.060876278597346e-07,3.82523918073972e-08,3.71524681111126e-05,0.9999999993097639,0,0,0,odom,-3.6359073531954656e-05,-0.2927198183610828,0.10094405028769868,-0.00474251722588149,-4.205999994732423e-07,5.767481118072013e-05,0.9999887525386482
