time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:00:25.470000,25,25,423000000,camera_frame,-0.0003909255610778928,-0.00038165063597261906,0.7960710525512695,0.9999999998781542,9.958516200587333e-06,-9.865032394749255e-06,-6.870273081112626e-06,0,0,0,camera_frame,-1.0959970362801477e-11,4.900135852636822e-12,0.7998776000033394,0.7071067811865475,-1.6107949565287355e-11,1.6107921623102972e-11,0.7071067811865476
1970/01/01/03:00:40.629000,479,40,591000000,camera_frame,-0.0004255564999766648,-0.00044073318713344634,0.8960446715354919,0.9999999968767808,-3.714437006683485e-06,6.83374946186755e-05,3.9530094167108535e-05,0,0,0,camera_frame,6.1130313028255074e-12,4.901468120266372e-12,0.9004550000033325,0.7071067811853045,-4.260595965034493e-11,4.450165404699077e-11,0.7071067811877906
1970/01/01/03:00:42.791000,544,42,758000000,camera_frame,-0.0004959786310791969,-0.0004774485423695296,0.9958083033561707,0.9999999923856212,1.6666143165628605e-06,-0.00010515755192169577,-6.455903665732101e-05,0,0,0,camera_frame,2.142991836812852e-11,4.901135053358985e-12,1.0015406000033242,0.7071067811853045,-7.002945195515861e-11,7.192514635307934e-11,0.7071067811877906
1970/01/01/03:00:45.024000,611,44,991000000,camera_frame,-0.0005265920772217214,-0.0005270601250231266,1.0985193252563477,0.9999999967311175,-7.702451409951673e-06,6.97735292710473e-05,-4.0125949091148106e-05,0,0,0,camera_frame,3.8887789161550775e-11,4.901412609115141e-12,1.103088200003316,0.7071067811853045,-9.875882482650067e-11,1.006545192235505e-10,0.7071067811877906
1970/01/01/03:00:47.189000,676,47,158000000,camera_frame,-0.0005852591712027788,-0.0005829340079799294,1.198249101638794,0.9999999983900274,-2.0777652066796906e-06,-5.6467678995913565e-05,-5.198989648163075e-06,0,0,0,camera_frame,5.4129742515341746e-11,4.901190564510216e-12,1.2044048000033076,0.7071067811862993,-1.2850143514323855e-10,1.271252272474207e-10,0.7071067811867957
1970/01/01/03:00:49.388000,742,49,358000000,camera_frame,-0.0006293908227235079,-0.0006421749712899327,1.2994645833969116,0.9999999993655067,1.1795624895642994e-05,-3.2681760551158063e-06,3.3453981303426876e-05,0,0,0,camera_frame,7.166254699332737e-11,4.901579142568835e-12,1.3057214000032995,0.7071067811853045,-1.549116899123025e-10,1.5680738430961323e-10,0.7071067811877906
1970/01/01/03:00:51.582000,808,51,558000000,camera_frame,-0.0006872800877317786,-0.0006712708855047822,1.4007527828216553,0.9999999907466596,1.2848194100063438e-05,-6.979380098574091e-05,-0.0001160621812019218,0,0,0,camera_frame,8.690450033197701e-11,4.901273831237063e-12,1.4070380000032912,0.7071067811862993,-1.8465430018320058e-10,1.832780922837765e-10,0.7071067811867957
1970/01/01/03:00:53.754000,873,53,725000000,camera_frame,-0.0007362828473560512,-0.0007176457438617945,1.5005097389221191,0.9999999859366674,2.3982821021181895e-06,-6.091791197593118e-05,-0.000156236747742054,0,0,0,camera_frame,1.0443730480526056e-10,4.901523631417604e-12,1.508354600003283,0.7071067811853045,-2.110645549235939e-10,2.1296024932430556e-10,0.7071067811877906
1970/01/01/03:00:55.953000,939,55,925000000,camera_frame,-0.0007808373775333166,-0.000771623570472002,1.6016825437545776,0.9999999981397883,1.4289957969673198e-07,-3.8091225131246096e-05,-4.7638864864058e-05,0,0,0,camera_frame,1.197242183568355e-10,4.9013015868126786e-12,1.6095326000032746,0.7071067811853045,-2.3848804712927927e-10,2.4038374152991946e-10,0.7071067811877906
1970/01/01/03:00:58.154000,1005,58,124000000,camera_frame,-0.0008243258926086128,-0.0008322836947627366,1.702635407447815,0.9999999948485402,1.9452106681903852e-06,6.111953250373872e-05,8.101566866439584e-05,0,0,0,camera_frame,1.3721206259896706e-10,4.901523631417604e-12,1.7109878000032666,0.7071067811853045,-2.6721741988737436e-10,2.6911311429021993e-10,0.7071067811877906
