time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:00:29.359000,29,29,283000000,camera_frame,-0.002419749042019248,-0.0023925527930259705,3.994323492050171,0.9999997244010593,7.306670551579058e-06,-0.0006026123149236711,-0.00043359291497099253,0,0,0,camera_frame,1.363487690435203e-11,4.9006354529979035e-12,3.9982236000022118,0.7071067811865475,-5.477978105648195e-11,5.47798089954683e-11,0.7071067811865476
1970/01/01/03:00:57.851000,885,57,817000000,camera_frame,-0.0032070986926555634,-0.002401454607024789,4.001107692718506,0.9999984159596332,-2.5904801326439663e-05,-0.0017190416191977863,0.00046076358058831635,0,0,0,camera_frame,-0.0011498564570037307,4.900524430695441e-12,4.010280968177432,0.7070764203790454,0.006552537366665292,-0.006552537368173841,0.7070764203762226
1970/01/01/03:00:58.117000,893,58,84000000,camera_frame,-0.004424022510647774,-0.002399396849796176,4.010225772857666,0.9996093896824446,4.519669590696576e-06,-0.027947475218575428,8.16527416244505e-05,0,0,0,camera_frame,-0.002022878929407274,4.9006354529979035e-12,4.022056351783869,0.7069880563982978,0.012957164383846807,-0.012957164383015892,0.7069880564001337
1970/01/01/03:00:58.350000,900,58,316000000,camera_frame,-0.005206259898841381,-0.0024060436990112066,4.0219550132751465,0.9992454192299259,-2.64498948170972e-05,-0.03884055398556794,-5.305192726616779e-05,0,0,0,camera_frame,-0.0026481941311645675,4.9006354529979035e-12,4.03382226214945,0.706841590395997,0.01936404111289345,-0.01936404111444558,0.7068415903934585
1970/01/01/03:00:58.632000,908,58,583000000,camera_frame,-0.005498201120644808,-0.0024362883996218443,4.036527156829834,0.9993591898850082,1.6222523368492636e-05,-0.03579343809665895,-0.00019778379740962082,0,0,0,camera_frame,-0.0030256605624796986,4.9004134083929785e-12,4.045574006606694,0.7066369496888422,0.025772491792356675,-0.02577249179162871,0.7066369496906542
1970/01/01/03:00:58.884000,916,58,849000000,camera_frame,-0.005307249259203672,-0.0024416018277406693,4.049632549285889,0.9994681257823947,-2.5843540196504146e-05,-0.03260788807413332,0.0004364773571555944,0,0,0,camera_frame,-0.0031552116768872847,4.9006354529979035e-12,4.057306890014765,0.7063740562437263,0.03218217934396074,-0.03218217934554967,0.7063740562414712
1970/01/01/03:00:59.118000,923,59,83000000,camera_frame,-0.0054570031352341175,-0.002459102775901556,4.0638203620910645,0.99861026194343,-2.216381069305929e-06,-0.05269916717760811,0.000585247937347106,0,0,0,camera_frame,-0.0030368556798153878,4.900746475300366e-12,4.069016216425057,0.7060528551531982,0.0385923014186056,-0.038592301417991116,0.7060528551549773
1970/01/01/03:00:59.384000,931,59,349000000,camera_frame,-0.005418822169303894,-0.002432948909699917,4.072757244110107,0.9980039500715298,1.0419921956173025e-05,-0.0631492407730158,-0.0005375154326623774,0,0,0,camera_frame,-0.002670675797024369,4.9006354529979035e-12,4.080697290539854,0.7056732707956604,0.04500260976736196,-0.045002609768981156,0.705673270793688
1970/01/01/03:00:59.656000,939,59,617000000,camera_frame,-0.004934651777148247,-0.002445708028972149,4.077378749847412,0.9970961105026999,1.1734062967640474e-05,-0.07615292203061295,-0.0002806223420024327,0,0,0,camera_frame,-0.0020568301836012192,4.900746475300366e-12,4.092345419621578,0.7052352718983546,0.05141217043910187,-0.051412170438617004,0.7052352719000838
1970/01/01/03:00:59.884000,946,59,849000000,camera_frame,-0.004014795646071434,-0.002486500423401594,4.090506553649902,0.9962980893512233,1.1307723002519421e-05,-0.08596505591714537,-0.00035523006522106704,0,0,0,camera_frame,-0.0011955520426130443,4.900302386090516e-12,4.103955915011515,0.7047387828935698,0.057820825718657466,-0.05782082572030087,0.7047387828918777
1970/01/01/03:01:00.153000,954,60,117000000,camera_frame,-0.0028412286192178726,-0.0024462805595248938,4.1076788902282715,0.995804999432323,7.77048093468172e-05,-0.09149977584997765,-0.0004336899327211299,0,0,0,camera_frame,-8.714911881689894e-05,4.900746475300366e-12,4.115524093972315,0.7041838006030247,0.06422752499612291,-0.06422752499578223,0.7041838006046917
1970/01/01/03:01:00.431000,962,60,383000000,camera_frame,-0.0015157812740653753,-0.0024790915194898844,4.11946964263916,0.9950961610691478,1.9607905568236165e-05,-0.09891170124190324,-0.0003243430394127614,0,0,0,camera_frame,0.001267996100407772,4.900302386090516e-12,4.127045281413661,0.7035702472446405,0.07063219657487688,-0.07063219657653819,0.7035702472432277
1970/01/01/03:01:00.650000,969,60,616000000,camera_frame,-9.729799057822675e-05,-0.0024823867715895176,4.129763603210449,0.9943769205655878,7.944664015887553e-05,-0.10589831481460939,-0.00028364441807221606,0,0,0,camera_frame,0.0028693646720334845,4.900746475300366e-12,4.1385148256136075,0.7028988229946339,0.07702755760957619,-0.07702755760756798,0.7028988229969336
1970/01/01/03:01:00.917000,977,60,883000000,camera_frame,0.002400742145255208,-0.002475691493600607,4.145691871643066,0.9934560665822774,1.107212368422655e-05,-0.11421406378403763,-0.0004373582210470557,0,0,0,camera_frame,0.00471608928952754,4.9006354529979035e-12,4.14992815485536,0.7021696136705166,0.08341362980013317,-0.08341362979811344,0.7021696136726988
1970/01/01/03:01:01.165000,984,61,117000000,camera_frame,0.003958714660257101,-0.0024916408583521843,4.151646614074707,0.9918799373144028,6.391819251909274e-05,-0.12717749641343426,-0.0002650917804412896,0,0,0,camera_frame,0.006807485509406668,4.9004134083929785e-12,4.161280663639657,0.7013821533103659,0.0897946268796231,-0.0897946268775942,0.7013821533124273
1970/01/01/03:01:01.417000,992,61,384000000,camera_frame,0.006134296767413616,-0.002487207530066371,4.156032562255859,0.990301024039883,7.251533817169494e-05,-0.13893827260167965,-0.00018147602123478365,0,0,0,camera_frame,0.00914454276712182,4.900746475300366e-12,4.172570820145086,0.7005365680202881,0.09616920954855744,-0.09616920954652182,0.7005365680222261
