time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:00:24.707000,0,24,680000000,camera_frame,-0.0023867988493293524,-0.002404344268143177,3.996769428253174,0.9999998652289457,-3.143466640782366e-05,-0.0002818271195524921,-0.0004348878324158564,0,0,0,camera_frame,1.6812237916626725e-11,4.9006354529979035e-12,4.001194199992238,0.7071067811865475,-3.4936141075400776e-11,3.4936196956504484e-11,0.7071067811865476
1970/01/01/03:00:35.476000,323,35,447000000,camera_frame,-0.0024594266433268785,-0.0024625856894999743,4.097527503967285,0.9999999625834081,-1.9079970992038786e-05,0.00018150387736300108,-0.00020377801591535999,0,0,0,camera_frame,-7.510105498086896e-13,4.901634653720066e-12,4.101494399992472,0.7071067811853047,-6.0453825566552784e-12,4.148200098821519e-12,0.7071067811877904
1970/01/01/03:00:37.674000,389,37,646000000,camera_frame,-0.0025295610539615154,-0.002494292100891471,4.20006799697876,0.9999998129810803,1.746290052739703e-05,9.900678716287489e-05,-0.0006032665312288219,0,0,0,camera_frame,-1.6681706595423065e-11,4.901967720627454e-12,4.202810999992708,0.7071067811862972,2.5791919708876665e-11,-2.4419444665915885e-11,0.7071067811867978
1970/01/01/03:00:39.836000,454,39,813000000,camera_frame,-0.0025836830027401447,-0.0025777209084481,4.300455093383789,0.9999994510430897,2.9196111154885133e-06,0.00017694662500595336,-0.0010327608082378818,0,0,0,camera_frame,-3.4810791438980245e-11,4.901634653720066e-12,4.303988999992942,0.7071067811862972,5.526250748432737e-11,-5.3890032442292427e-11,0.7071067811867978
1970/01/01/03:00:42.036000,520,42,14000000,camera_frame,-0.00262435432523489,-0.002578751416876912,4.389437198638916,0.9999988129656713,-2.5580820233521338e-05,-0.0005153516851437959,-0.0014518352216354267,0,0,0,camera_frame,-5.0832171872278454e-11,4.902078742929916e-12,4.405444199993179,0.7071067811862972,8.613645654732247e-11,-8.476398150213247e-11,0.7071067811867978
1970/01/01/03:00:44.238000,586,44,213000000,camera_frame,-0.0027182784397155046,-0.0026957718655467033,4.498798847198486,0.9999998474220996,6.0340216054707255e-06,-0.0005349179078442063,0.00013777590496527367,0,0,0,camera_frame,-6.905194110900321e-11,4.901634653720066e-12,4.506760799993414,0.7071067811853047,1.14643691125929e-10,-1.1654087358723968e-10,0.7071067811877904
1970/01/01/03:00:46.442000,652,46,413000000,camera_frame,-0.0027515909168869257,-0.002738166367635131,4.6067962646484375,0.9999988631841321,5.330405506558617e-06,0.0003546949303442655,-0.001465535238943716,0,0,0,camera_frame,-8.498263711143712e-11,4.902078742929916e-12,4.608077399993649,0.7071067811862972,1.4648099326901919e-10,-1.4510851822144536e-10,0.7071067811867978
1970/01/01/03:00:48.609000,717,48,580000000,camera_frame,-0.002797807101160288,-0.0028149911668151617,4.696449279785156,0.9999997174136006,1.2343925861757611e-05,0.0007434933980120024,0.00011062510278405619,0,0,0,camera_frame,-1.0320240633303307e-10,4.901856698324991e-12,4.709393999993884,0.7071067811853047,1.7498822778091224e-10,-1.7688541024383405e-10,0.7071067811877904
1970/01/01/03:00:50.804000,783,50,780000000,camera_frame,-0.002834646264091134,-0.0028575577307492495,4.808175086975098,0.9999931727672806,-1.6427387273927025e-05,0.003170026372943973,-0.0018987052861237968,0,0,0,camera_frame,-1.1913310231773052e-10,4.901856698324991e-12,4.810710599994119,0.7071067811862972,2.0682552986535985e-10,-2.054530548156642e-10,0.7071067811867978
1970/01/01/03:00:53.018000,849,52,979000000,camera_frame,-0.0029375229496508837,-0.0029494755435734987,4.905722141265869,0.9999999156847784,-9.872549091256355e-06,0.000410507043193044,4.115394642228642e-06,0,0,0,camera_frame,-1.3735287152707776e-10,4.901856698324991e-12,4.912027199994354,0.7071067811853047,2.35332764329892e-10,-2.372299467948365e-10,0.7071067811877904
