time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:10:48.741000,16643,648,709000000,camera_link_optical,-0.0012478430289775133,-0.0012425616150721908,2.0412237644195557,-1.5249021568462788e-05,0.9999999597652708,-0.0002799342458834977,-4.328674276274834e-05,0,648,719000000,camera_link_optical,4.0728574315308157e-07,-5.47119582861022e-07,2.0508235593225543,0.7071060073847785,7.042213781827533e-08,-7.04047872924162e-08,0.7071075549874628,0,0,0,,-5.508225876837969e-05,0.04849672317504883,5.039013922214508e-05,0.0,0.0,0.0,1.0,0,0,0,odom,4.396175664434917e-11,0.050823559316892614,0.2500005471444293,-1.0943096472431976e-06,5.160810607734899e-15,-2.9440470223186666e-10,0.9999999999994014
1970/01/01/03:10:49.738000,16673,649,701000000,camera_link_optical,-0.0012503049802035093,-0.0012556666042655706,2.089885711669922,-1.2142993986026967e-05,0.9999999933635032,-3.9011603152007e-05,0.00010772017513517674,0,649,688000000,camera_link_optical,4.1783245545111507e-07,-5.498880161214359e-07,2.100872956631947,0.7071060036104584,7.050983347963871e-08,-7.052687480339777e-08,0.7071075587617743,0,0,0,,-5.7544209994375706e-05,0.09715867042541504,6.349512841552496e-05,0.0,0.0,0.0,1.0,0,0,0,odom,4.393923714524154e-11,0.1008729566373489,0.25000054982397296,-1.0996687462476866e-06,-4.514735317395405e-15,-2.944400641767856e-10,0.9999999999993954
1970/01/01/03:10:50.760000,16704,650,734000000,camera_link_optical,-0.0012915137922391295,-0.0012899914290755987,2.1432716846466064,-1.2441508782671423e-05,0.9999999941595342,-9.274982063280868e-05,5.407042829311154e-05,0,650,708000000,camera_link_optical,4.2870715057504317e-07,-5.526494687713157e-07,2.152177353871591,0.7071059997067148,7.062023846546384e-08,-7.063727876655884e-08,0.7071075626655092,0,0,0,,-9.875302202999592e-05,0.1505446434020996,9.781995322555304e-05,0.0,0.0,0.0,1.0,0,0,0,odom,4.392607318503744e-11,0.15217735387699435,0.25000055258432735,-1.1051894671868028e-06,-4.513081204917619e-15,-2.9446639540707676e-10,0.9999999999993894
1970/01/01/03:10:51.767000,16734,651,734000000,camera_link_optical,-0.001311356551013887,-0.0013101659715175629,2.1921427249908447,8.22580126239281e-06,0.9999999797145996,-0.00010494079886591206,0.00017172817256349377,0,651,728000000,camera_link_optical,4.3945365061952115e-07,-5.553812232328426e-07,2.2026785511409166,0.7071059958449468,7.073064315853946e-08,-7.074768244292948e-08,0.7071075665272687,0,0,0,,-0.0001185957808047533,0.1994156837463379,0.00011799449566751719,0.0,0.0,0.0,1.0,0,0,0,odom,4.3913114133268265e-11,0.20267855114632097,0.2500005553150006,-1.110650825830715e-06,-4.511444109341166e-15,-2.9449231678581145e-10,0.9999999999993834
1970/01/01/03:10:52.766000,16764,652,734000000,camera_link_optical,-0.0013553593307733536,-0.0013501112116500735,2.2441554069519043,-5.965332271457765e-06,0.9999999948203285,9.962294988000243e-05,1.9975626537614512e-05,0,652,740000000,camera_link_optical,4.501449414687845e-07,-5.580135882810033e-07,2.2528785484203975,0.7071059919721595,7.085271800135903e-08,-7.083537713037905e-08,0.7071075704000477,0,0,0,,-0.00016259856056421995,0.25142836570739746,0.00015793973580002785,0.0,0.0,0.0,1.0,0,0,0,odom,4.3900231210249526e-11,0.25287854841856083,0.2500005580427607,-1.1161063581684789e-06,-4.509809202560617e-15,-2.945180859032477e-10,0.9999999999993772
1970/01/01/03:10:53.763000,16794,653,734000000,camera_link_optical,-0.0013888472458347678,-0.001386124175041914,2.294010877609253,4.917678835520241e-06,0.9999999532840327,8.335558043586226e-05,-0.00029404012665914094,0,653,717000000,camera_link_optical,4.608693622677218e-07,-5.607454318101723e-07,2.302927945691302,0.7071059881072207,7.096312253640814e-08,-7.09457669577765e-08,0.7071075742649778,0,0,0,,-0.0001960864756256342,0.3012838363647461,0.0001939526991918683,0.0,0.0,0.0,1.0,0,0,0,odom,4.389706450379557e-11,0.3029279456856455,0.25000056077567595,-1.1215722009678803e-06,5.168981830228415e-15,-2.9453410286142477e-10,0.9999999999993712
1970/01/01/03:10:54.764000,16824,654,734000000,camera_link_optical,-0.00141565827652812,-0.001405820483341813,2.3440542221069336,2.3498899581771022e-06,0.9999999893324772,-4.6765243827442635e-05,-0.00013835655149548108,0,654,737000000,camera_link_optical,4.716591300525929e-07,-5.635017003013942e-07,2.353178142933957,0.707105984207734,7.107352715075802e-08,-7.105618422623743e-08,0.7071075781644559,0,0,0,,-0.00022289750631898642,0.35132718086242676,0.0002136490074917674,0.0,0.0,0.0,1.0,0,0,0,odom,4.3874487654755025e-11,0.3531781429283012,0.2500005635330203,-1.1270869019679801e-06,-4.506517482846783e-15,-2.945695796001836e-10,0.999999999999365
1970/01/01/03:10:55.762000,16854,655,734000000,camera_link_optical,-0.001429832074791193,-0.00144150760024786,2.3946359157562256,1.1470002927332896e-05,0.9999999284570721,-0.00026231568476787115,0.00027229537505273446,0,655,740000000,camera_link_optical,4.824028159301089e-07,-5.663661151178445e-07,2.40327774016344,0.7071059803159857,7.11612228598196e-08,-7.117825806179078e-08,0.7071075820561951,0,0,0,,-0.00023707130458205938,0.40190887451171875,0.0002493361243978143,0.0,0.0,0.0,1.0,0,0,0,odom,4.3861627026089793e-11,0.4032777401657239,0.2500005662955975,-1.132612068935087e-06,-4.504860157157719e-15,-2.945953041726353e-10,0.9999999999993587
1970/01/01/03:10:56.760000,16884,656,734000000,camera_link_optical,-0.0014607032062485814,-0.001437942497432232,2.4444141387939453,2.72748690793079e-05,0.9999998317053674,0.0005041809616060238,0.00028573917548668684,0,656,727000000,camera_link_optical,4.93219231948488e-07,-5.691433081211894e-07,2.453377337384194,0.7071059763899461,7.127162742803348e-08,-7.128866158837919e-08,0.7071075859822259,0,0,0,,-0.0002679424360394478,0.4516870975494385,0.0002457710215821862,0.0,0.0,0.0,1.0,0,0,0,odom,4.384876524037512e-11,0.4533773373896041,0.25000056907171736,-1.1381643211949417e-06,-4.50319649848713e-15,-2.946210310737925e-10,0.9999999999993523
1970/01/01/03:10:57.767000,16914,657,734000000,camera_link_optical,-0.0014978832332417369,-0.0014963531866669655,2.4919095039367676,2.2396266601612494e-05,0.999999994947425,6.214876542591101e-05,7.576996933117715e-05,0,657,740000000,camera_link_optical,5.041319963235902e-07,-5.718521186581782e-07,2.503928734576213,0.7071059723938541,7.139370242466218e-08,-7.137634270756343e-08,0.7071075899783087,0,0,0,,-0.00030512246303260326,0.49918246269226074,0.0003041817108169198,0.0,0.0,0.0,1.0,0,0,0,odom,4.3845465026252323e-11,0.5039287345746553,0.25000057188666613,-1.143794231628522e-06,5.175646425222505e-15,-2.946373151489924e-10,0.9999999999993459
