time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:12:48.169000,0,0,0,,-0.0001710718497633934,0.14998210417106747,0.08424758911132812,0.0,0.0,0.0,0.0,0,768,140000000,camera_link_optical,3.3501075570132117e-10,0.1500000000000012,0.0014266839999999004,0.7071067811865476,-1.0063599359409133e-14,1.0063599320228136e-14,0.7071067811865476,0,0,0,,-0.0001710718497633934,0.08424758911132812,1.7895828932523727e-05,0.0,0.0,0.0,1.0,0,0,0,odom,-5.181530998985876e-13,-1.949549000037498,0.09999999999020018,4.559555688348821e-13,-7.194451567159053e-13,1.174136503101824e-07,0.9999999999999931
1970/01/01/03:12:49.171000,0,0,0,,-0.00018744636327028275,0.14998790537938475,0.09815645217895508,0.0,0.0,0.0,0.0,0,769,130000000,camera_link_optical,4.715150877774355e-10,0.15000000000000208,0.0020079999999993436,0.7071067811865476,-6.940413268183913e-15,6.940413401114789e-15,0.7071067811865476,0,0,0,,-0.00018744636327028275,0.09815645217895508,1.2094620615243912e-05,0.0,0.0,0.0,1.0,0,0,0,odom,-9.961038393577664e-13,-1.8992486000374977,0.09999999999020018,4.559555692025262e-13,-7.194451571566846e-13,1.1741389618161076e-07,0.9999999999999931
1970/01/01/03:12:50.196000,0,0,0,,-0.0001954701729118824,0.15003074994310736,0.1292409896850586,0.0,0.0,0.0,0.0,0,770,150000000,camera_link_optical,5.186677022289485e-10,0.15000000000000202,0.0022087999999995667,0.7071067811865476,-7.634454166632e-15,7.63445517182812e-15,0.7071067811865476,0,0,0,,-0.0001954701729118824,0.1292409896850586,-3.074994310736656e-05,0.0,0.0,0.0,1.0,0,0,0,odom,-1.4845485069399843e-12,-1.8478438000374975,0.09999999999020018,4.559555680838379e-13,-7.194451561627062e-13,1.174141474514138e-07,0.9999999999999931
1970/01/01/03:12:51.201000,0,0,0,,-0.0003295852802693844,0.15006804754957556,0.21610641479492188,0.0,0.0,0.0,0.0,0,771,170000000,camera_link_optical,3.5363782356964276e-10,0.15000000000000135,0.0015059999999995632,0.7071067811865476,-5.205310267106001e-15,5.205309725336369e-15,0.7071067811865476,0,0,0,,-0.0003295852802693844,0.21610641479492188,-6.804754957556725e-05,0.0,0.0,0.0,1.0,0,0,0,odom,-1.9644072333834227e-12,-1.7973426000374972,0.09999999999020018,4.559555684330884e-13,-7.194451566378435e-13,1.1741439430436482e-07,0.9999999999999931
1970/01/01/03:12:52.207000,0,0,0,,-0.00030105235055088997,0.14989675311371684,0.2819514274597168,0.0,0.0,0.0,0.0,0,772,173000000,camera_link_optical,3.890023937189117e-10,0.1500000000000017,0.001656599999999786,0.7071067811865476,-1.1625192755434292e-14,1.1625191906694196e-14,0.7071067811865476,0,0,0,,-0.00030105235055088997,0.2819514274597168,0.00010324688628315926,0.0,0.0,0.0,1.0,0,0,0,odom,-2.4442659598900502e-12,-1.746841400037497,0.09999999999020018,4.559555683728768e-13,-7.194451574173913e-13,1.1741464115731585e-07,0.9999999999999931
1970/01/01/03:12:53.240000,0,0,0,,-0.00029916130006313324,0.1498314301483333,0.2887425422668457,0.0,0.0,0.0,0.0,0,773,207000000,camera_link_optical,3.7721524652048523e-10,0.1500000000000017,0.0016063999999993417,0.7071067811865476,-1.3880826291890909e-14,1.3880827054007441e-14,0.7071067811865476,0,0,0,,-0.00029916130006313324,0.2887425422668457,0.00016856985166668892,0.0,0.0,0.0,1.0,0,0,0,odom,-2.937003598301532e-12,-1.6949848000374967,0.09999999999020018,4.559555691423966e-13,-7.19445157065821e-13,1.1741489463554488e-07,0.9999999999999931
1970/01/01/03:12:54.268000,0,0,0,,-0.00033421115949749947,0.14982393579557537,0.3390388488769531,0.0,0.0,0.0,0.0,0,774,229000000,camera_link_optical,4.361561050486041e-10,0.1500000000000019,0.001857399999999343,0.7071067811865476,-6.419882330261036e-15,6.419882338094779e-15,0.7071067811865476,0,0,0,,-0.00033421115949749947,0.3390388488769531,0.00017606420442461967,0.0,0.0,0.0,1.0,0,0,0,odom,-3.4273562530297937e-12,-1.6433792000374965,0.09999999999020018,4.559555682221801e-13,-7.194451569208867e-13,1.1741514688687058e-07,0.9999999999999931
1970/01/01/03:12:55.270000,0,0,0,,-0.0004029311239719391,0.14972172221168875,0.43441057205200195,0.0,0.0,0.0,0.0,0,775,240000000,camera_link_optical,3.536408013492795e-10,0.15000000000000152,0.0015059999999997853,0.7071067811865476,-1.2145723796366283e-14,1.2145722910109585e-14,0.7071067811865476,0,0,0,,-0.0004029311239719391,0.43441057205200195,0.00027827778831124306,0.0,0.0,0.0,1.0,0,0,0,odom,-3.905306992509081e-12,-1.5930788000374962,0.09999999999020018,4.559555678079082e-13,-7.194451575001682e-13,1.1741539275829894e-07,0.9999999999999931
1970/01/01/03:12:56.268000,0,0,0,,-0.0003861072473227978,0.1497807308100164,0.46559619903564453,0.0,0.0,0.0,0.0,0,776,219000000,camera_link_optical,5.540384365080252e-10,0.1500000000000022,0.0023593999999997894,0.7071067811865476,-8.154985439241501e-15,8.154985925325133e-15,0.7071067811865476,0,0,0,,-0.0003861072473227978,0.46559619903564453,0.00021926918998360634,0.0,0.0,0.0,1.0,0,0,0,odom,-4.380872748000582e-12,-1.543029400037496,0.09999999999020018,4.559555689622411e-13,-7.194451568110158e-13,1.1741563740282397e-07,0.9999999999999931
1970/01/01/03:12:57.266000,0,0,0,,-0.00037945015355944633,0.14973842967301607,0.4894852638244629,0.0,0.0,0.0,0.0,0,777,240000000,camera_link_optical,3.0649000120787585e-10,0.15000000000000133,0.0013051999999995623,0.7071067811865476,-4.5112686688779604e-15,4.511268674241638e-15,0.7071067811865476,0,0,0,,-0.00037945015355944633,0.4894852638244629,0.0002615703269839287,0.0,0.0,0.0,1.0,0,0,0,odom,-4.857392497200874e-12,-1.4928796000374958,0.09999999999020018,4.55955567201763e-13,-7.194451571840213e-13,1.1741588253811032e-07,0.9999999999999931
